Subject,Vignette,Face,StoryEmotion,FaceExpression,Acc
200,2,Sad 4 Male.JPG,Sad,Sad,1
200,4,Happy 4 Female.JPG,Happy,Happy,1
200,5,Sad 1 Female.JPG,Happy,Sad,1
200,6,Sad 2 Female.JPG,Sad,Sad,1
200,7,Happy 1 Male.JPG,Sad,Happy,1
200,8,Happy 2 Male.JPG,Happy,Happy,1
200,9,Sad 7 Male.JPG,Happy,Sad,1
200,10,Sad 8 Male.JPG,Sad,Sad,1
200,11,Happy 7 Female.JPG,Sad,Happy,0
200,12,Happy 8 Female.JPG,Happy,Happy,1
200,13,Sad 5 Female.JPG,Happy,Sad,1
200,14,Sad 6 Female.JPG,Sad,Sad,1
200,15,Happy 5 Male.JPG,Sad,Happy,1
200,17,Sad 11 Male.JPG,Happy,Sad,1
200,18,Sad 12 Male.JPG,Sad,Sad,1
200,19,Happy 11 Female.JPG,Sad,Happy,1
200,21,Sad 9 Female.JPG,Happy,Sad,1
200,22,Sad 10 Female.JPG,Sad,Sad,1
200,23,Happy 9 Male.JPG,Sad,Happy,1
200,24,Happy 10 Male.JPG,Happy,Happy,1
200,25,Sad 15 Male.JPG,Happy,Sad,1
200,27,Happy 15 Female.JPG,Sad,Happy,1
200,28,Happy 16 Female.JPG,Happy,Happy,1
200,29,Sad 13 Female.JPG,Happy,Sad,1
200,30,Sad 14 Female.JPG,Sad,Sad,1
200,31,Happy 13 Male.JPG ,Sad,Happy,1
200,32,Happy 14 Male.JPG,Happy,Happy,1
5,1,Sad 3 Male.JPG,Happy,Sad,1
5,2,Sad 4 Male.JPG,Sad,Sad,1
5,3,Happy 3 Female.JPG,Sad,Happy,1
5,4,Happy 4 Female.JPG,Happy,Happy,1
5,5,Sad 1 Female.JPG,Happy,Sad,1
5,6,Sad 2 Female.JPG,Sad,Sad,1
5,7,Happy 1 Male.JPG,Sad,Happy,1
5,8,Happy 2 Male.JPG,Happy,Happy,1
5,9,Sad 7 Male.JPG,Happy,Sad,1
5,12,Happy 8 Female.JPG,Happy,Happy,1
5,13,Sad 5 Female.JPG,Happy,Sad,1
5,14,Sad 6 Female.JPG,Sad,Sad,1
5,16,Happy 6 Male.JPG,Happy,Happy,1
5,17,Sad 11 Male.JPG,Happy,Sad,1
5,18,Sad 12 Male.JPG,Sad,Sad,1
5,19,Happy 11 Female.JPG,Sad,Happy,1
5,20,Happy 12 Female.JPG,Happy,Happy,1
5,21,Sad 9 Female.JPG,Happy,Sad,1
5,23,Happy 9 Male.JPG,Sad,Happy,1
5,24,Happy 10 Male.JPG,Happy,Happy,0
5,25,Sad 15 Male.JPG,Happy,Sad,1
5,26,Sad 16 Male.JPG,Sad,Sad,1
5,27,Happy 15 Female.JPG,Sad,Happy,1
5,28,Happy 16 Female.JPG,Happy,Happy,1
5,29,Sad 13 Female.JPG,Happy,Sad,1
5,30,Sad 14 Female.JPG,Sad,Sad,1
5,31,Happy 13 Male.JPG ,Sad,Happy,1
6,1,Happy 1 Male.JPG,Happy,Happy,1
6,2,Happy 2 Male.JPG,Sad,Happy,1
6,3,Sad 1 Female.JPG,Sad,Sad,1
6,4,Sad 2 Female.JPG,Happy,Sad,1
6,5,Happy 3 Female.JPG,Happy,Happy,1
6,6,Happy 4 Female.JPG,Sad,Happy,1
6,7,Sad 3 Male.JPG,Sad,Sad,1
6,8,Sad 4 Male.JPG,Happy,Sad,1
6,9,Happy 5 Male.JPG,Happy,Happy,1
6,10,Happy 6 Male.JPG,Sad,Happy,1
6,11,Sad 5 Female.JPG,Sad,Sad,1
6,12,Sad 6 Female.JPG,Happy,Sad,1
6,13,Happy 7 Female.JPG,Happy,Happy,1
6,14,Happy 8 Female.JPG,Sad,Happy,1
6,15,Sad 7 Male.JPG,Sad,Sad,1
6,16,Sad 8 Male.JPG,Happy,Sad,1
6,17,Happy 9 Male.JPG,Happy,Happy,1
6,18,Happy 10 Male.JPG,Sad,Happy,1
6,19,Sad 9 Female.JPG,Sad,Sad,1
6,20,Sad 10 Female.JPG,Happy,Sad,1
6,21,Happy 11 Female.JPG,Happy,Happy,1
6,22,Happy 12 Female.JPG,Sad,Happy,1
6,23,Sad 11 Male.JPG,Sad,Sad,1
6,24,Sad 12 Male.JPG,Happy,Sad,1
6,25,Happy 13 Male.JPG,Happy,Happy,1
6,27,Sad 13 Female.JPG,Sad,Sad,1
6,28,Sad 14 Female.JPG,Happy,Sad,1
6,29,Happy 15 Female.JPG,Happy,Happy,1
6,30,Happy 16 Female.JPG,Sad,Happy,1
6,31,Sad 15 Male.JPG,Sad,Sad,1
6,32,Sad 16 Male.JPG,Happy,Sad,1
8,1,Sad 3 Male.JPG,Happy,Sad,1
8,2,Sad 4 Male.JPG,Sad,Sad,1
8,3,Happy 3 Female.JPG,Sad,Happy,1
8,4,Happy 4 Female.JPG,Happy,Happy,1
8,5,Sad 1 Female.JPG,Happy,Sad,1
8,6,Sad 2 Female.JPG,Sad,Sad,1
8,7,Happy 1 Male.JPG,Sad,Happy,1
8,8,Happy 2 Male.JPG,Happy,Happy,1
8,9,Sad 7 Male.JPG,Happy,Sad,1
8,10,Sad 8 Male.JPG,Sad,Sad,1
8,11,Happy 7 Female.JPG,Sad,Happy,0
8,12,Happy 8 Female.JPG,Happy,Happy,1
8,14,Sad 6 Female.JPG,Sad,Sad,1
8,15,Happy 5 Male.JPG,Sad,Happy,1
8,16,Happy 6 Male.JPG,Happy,Happy,1
8,17,Sad 11 Male.JPG,Happy,Sad,1
8,18,Sad 12 Male.JPG,Sad,Sad,1
8,19,Happy 11 Female.JPG,Sad,Happy,1
8,20,Happy 12 Female.JPG,Happy,Happy,1
8,21,Sad 9 Female.JPG,Happy,Sad,1
8,22,Sad 10 Female.JPG,Sad,Sad,1
8,23,Happy 9 Male.JPG,Sad,Happy,1
8,24,Happy 10 Male.JPG,Happy,Happy,1
8,25,Sad 15 Male.JPG,Happy,Sad,1
8,26,Sad 16 Male.JPG,Sad,Sad,1
8,27,Happy 15 Female.JPG,Sad,Happy,1
8,28,Happy 16 Female.JPG,Happy,Happy,1
8,29,Sad 13 Female.JPG,Happy,Sad,1
8,30,Sad 14 Female.JPG,Sad,Sad,1
8,31,Happy 13 Male.JPG ,Sad,Happy,1
8,32,Happy 14 Male.JPG,Happy,Happy,1
9,1,Happy 1 Male.JPG,Happy,Happy,1
9,2,Happy 2 Male.JPG,Sad,Happy,1
9,3,Sad 1 Female.JPG,Sad,Sad,1
9,4,Sad 2 Female.JPG,Happy,Sad,1
9,5,Happy 3 Female.JPG,Happy,Happy,1
9,6,Happy 4 Female.JPG,Sad,Happy,1
9,7,Sad 3 Male.JPG,Sad,Sad,1
9,8,Sad 4 Male.JPG,Happy,Sad,1
9,9,Happy 5 Male.JPG,Happy,Happy,1
9,10,Happy 6 Male.JPG,Sad,Happy,1
9,11,Sad 5 Female.JPG,Sad,Sad,1
9,12,Sad 6 Female.JPG,Happy,Sad,1
9,14,Happy 8 Female.JPG,Sad,Happy,1
9,15,Sad 7 Male.JPG,Sad,Sad,1
9,16,Sad 8 Male.JPG,Happy,Sad,1
9,17,Happy 9 Male.JPG,Happy,Happy,1
9,18,Happy 10 Male.JPG,Sad,Happy,1
9,19,Sad 9 Female.JPG,Sad,Sad,1
9,20,Sad 10 Female.JPG,Happy,Sad,1
9,21,Happy 11 Female.JPG,Happy,Happy,1
9,22,Happy 12 Female.JPG,Sad,Happy,1
9,23,Sad 11 Male.JPG,Sad,Sad,1
9,24,Sad 12 Male.JPG,Happy,Sad,1
9,25,Happy 13 Male.JPG,Happy,Happy,1
9,26,Happy 14 Male.JPG,Sad,Happy,1
9,27,Sad 13 Female.JPG,Sad,Sad,1
9,28,Sad 14 Female.JPG,Happy,Sad,1
9,29,Happy 15 Female.JPG,Happy,Happy,1
9,30,Happy 16 Female.JPG,Sad,Happy,1
9,31,Sad 15 Male.JPG,Sad,Sad,1
9,32,Sad 16 Male.JPG,Happy,Sad,0
10,1,Happy 1 Male.JPG,Happy,Happy,1
10,3,Sad 1 Female.JPG,Sad,Sad,1
10,4,Sad 2 Female.JPG,Happy,Sad,1
10,5,Happy 3 Female.JPG,Happy,Happy,1
10,6,Happy 4 Female.JPG,Sad,Happy,1
10,7,Sad 3 Male.JPG,Sad,Sad,1
10,8,Sad 4 Male.JPG,Happy,Sad,1
10,9,Happy 5 Male.JPG,Happy,Happy,1
10,10,Happy 6 Male.JPG,Sad,Happy,1
10,11,Sad 5 Female.JPG,Sad,Sad,1
10,12,Sad 6 Female.JPG,Happy,Sad,1
10,13,Happy 7 Female.JPG,Happy,Happy,1
10,14,Happy 8 Female.JPG,Sad,Happy,1
10,15,Sad 7 Male.JPG,Sad,Sad,1
10,17,Happy 9 Male.JPG,Happy,Happy,1
10,18,Happy 10 Male.JPG,Sad,Happy,1
10,19,Sad 9 Female.JPG,Sad,Sad,1
10,20,Sad 10 Female.JPG,Happy,Sad,1
10,21,Happy 11 Female.JPG,Happy,Happy,1
10,22,Happy 12 Female.JPG,Sad,Happy,1
10,23,Sad 11 Male.JPG,Sad,Sad,1
10,24,Sad 12 Male.JPG,Happy,Sad,1
10,25,Happy 13 Male.JPG,Happy,Happy,1
10,27,Sad 13 Female.JPG,Sad,Sad,1
10,28,Sad 14 Female.JPG,Happy,Sad,1
10,29,Happy 15 Female.JPG,Happy,Happy,1
10,30,Happy 16 Female.JPG,Sad,Happy,1
10,31,Sad 15 Male.JPG,Sad,Sad,1
10,32,Sad 16 Male.JPG,Happy,Sad,1
11,1,Sad 3 Male.JPG,Happy,Sad,1
11,2,Sad 4 Male.JPG,Sad,Sad,1
11,3,Happy 3 Female.JPG,Sad,Happy,1
11,4,Happy 4 Female.JPG,Happy,Happy,1
11,5,Sad 1 Female.JPG,Happy,Sad,1
11,6,Sad 2 Female.JPG,Sad,Sad,1
11,7,Happy 1 Male.JPG,Sad,Happy,1
11,8,Happy 2 Male.JPG,Happy,Happy,1
11,9,Sad 7 Male.JPG,Happy,Sad,1
11,10,Sad 8 Male.JPG,Sad,Sad,1
11,11,Happy 7 Female.JPG,Sad,Happy,1
11,12,Happy 8 Female.JPG,Happy,Happy,1
11,13,Sad 5 Female.JPG,Happy,Sad,1
11,14,Sad 6 Female.JPG,Sad,Sad,1
11,15,Happy 5 Male.JPG,Sad,Happy,1
11,16,Happy 6 Male.JPG,Happy,Happy,1
11,17,Sad 11 Male.JPG,Happy,Sad,1
11,18,Sad 12 Male.JPG,Sad,Sad,1
11,19,Happy 11 Female.JPG,Sad,Happy,1
11,20,Happy 12 Female.JPG,Happy,Happy,1
11,21,Sad 9 Female.JPG,Happy,Sad,1
11,22,Sad 10 Female.JPG,Sad,Sad,1
11,23,Happy 9 Male.JPG,Sad,Happy,1
11,24,Happy 10 Male.JPG,Happy,Happy,1
11,25,Sad 15 Male.JPG,Happy,Sad,1
11,26,Sad 16 Male.JPG,Sad,Sad,1
11,27,Happy 15 Female.JPG,Sad,Happy,1
11,28,Happy 16 Female.JPG,Happy,Happy,1
11,29,Sad 13 Female.JPG,Happy,Sad,1
11,30,Sad 14 Female.JPG,Sad,Sad,1
11,31,Happy 13 Male.JPG ,Sad,Happy,1
11,32,Happy 14 Male.JPG,Happy,Happy,1
12,1,Sad 3 Male.JPG,Happy,Sad,1
12,2,Sad 4 Male.JPG,Sad,Sad,1
12,3,Happy 3 Female.JPG,Sad,Happy,1
12,4,Happy 4 Female.JPG,Happy,Happy,1
12,5,Sad 1 Female.JPG,Happy,Sad,1
12,6,Sad 2 Female.JPG,Sad,Sad,1
12,7,Happy 1 Male.JPG,Sad,Happy,1
12,8,Happy 2 Male.JPG,Happy,Happy,1
12,9,Sad 7 Male.JPG,Happy,Sad,1
12,10,Sad 8 Male.JPG,Sad,Sad,1
12,12,Happy 8 Female.JPG,Happy,Happy,1
12,13,Sad 5 Female.JPG,Happy,Sad,1
12,14,Sad 6 Female.JPG,Sad,Sad,1
12,15,Happy 5 Male.JPG,Sad,Happy,1
12,16,Happy 6 Male.JPG,Happy,Happy,1
12,18,Sad 12 Male.JPG,Sad,Sad,1
12,19,Happy 11 Female.JPG,Sad,Happy,1
12,20,Happy 12 Female.JPG,Happy,Happy,1
12,21,Sad 9 Female.JPG,Happy,Sad,1
12,22,Sad 10 Female.JPG,Sad,Sad,1
12,23,Happy 9 Male.JPG,Sad,Happy,1
12,24,Happy 10 Male.JPG,Happy,Happy,1
12,25,Sad 15 Male.JPG,Happy,Sad,1
12,27,Happy 15 Female.JPG,Sad,Happy,1
12,28,Happy 16 Female.JPG,Happy,Happy,1
12,29,Sad 13 Female.JPG,Happy,Sad,1
12,30,Sad 14 Female.JPG,Sad,Sad,1
12,31,Happy 13 Male.JPG ,Sad,Happy,1
12,32,Happy 14 Male.JPG,Happy,Happy,1
13,1,Happy 1 Male.JPG,Happy,Happy,1
13,2,Happy 2 Male.JPG,Sad,Happy,1
13,3,Sad 1 Female.JPG,Sad,Sad,1
13,4,Sad 2 Female.JPG,Happy,Sad,1
13,5,Happy 3 Female.JPG,Happy,Happy,1
13,6,Happy 4 Female.JPG,Sad,Happy,1
13,7,Sad 3 Male.JPG,Sad,Sad,1
13,8,Sad 4 Male.JPG,Happy,Sad,1
13,9,Happy 5 Male.JPG,Happy,Happy,1
13,10,Happy 6 Male.JPG,Sad,Happy,1
13,11,Sad 5 Female.JPG,Sad,Sad,1
13,12,Sad 6 Female.JPG,Happy,Sad,1
13,13,Happy 7 Female.JPG,Happy,Happy,1
13,14,Happy 8 Female.JPG,Sad,Happy,1
13,15,Sad 7 Male.JPG,Sad,Sad,1
13,16,Sad 8 Male.JPG,Happy,Sad,1
13,17,Happy 9 Male.JPG,Happy,Happy,1
13,18,Happy 10 Male.JPG,Sad,Happy,1
13,19,Sad 9 Female.JPG,Sad,Sad,1
13,20,Sad 10 Female.JPG,Happy,Sad,1
13,21,Happy 11 Female.JPG,Happy,Happy,1
13,22,Happy 12 Female.JPG,Sad,Happy,1
13,23,Sad 11 Male.JPG,Sad,Sad,1
13,24,Sad 12 Male.JPG,Happy,Sad,1
13,25,Happy 13 Male.JPG,Happy,Happy,1
13,26,Happy 14 Male.JPG,Sad,Happy,1
13,27,Sad 13 Female.JPG,Sad,Sad,1
13,28,Sad 14 Female.JPG,Happy,Sad,1
13,29,Happy 15 Female.JPG,Happy,Happy,1
13,30,Happy 16 Female.JPG,Sad,Happy,1
13,31,Sad 15 Male.JPG,Sad,Sad,1
13,32,Sad 16 Male.JPG,Happy,Sad,1
14,1,Sad 3 Male.JPG,Happy,Sad,1
14,2,Sad 4 Male.JPG,Sad,Sad,1
14,3,Happy 3 Female.JPG,Sad,Happy,0
14,4,Happy 4 Female.JPG,Happy,Happy,1
14,5,Sad 1 Female.JPG,Happy,Sad,1
14,6,Sad 2 Female.JPG,Sad,Sad,1
14,7,Happy 1 Male.JPG,Sad,Happy,1
14,8,Happy 2 Male.JPG,Happy,Happy,1
14,9,Sad 7 Male.JPG,Happy,Sad,1
14,10,Sad 8 Male.JPG,Sad,Sad,1
14,11,Happy 7 Female.JPG,Sad,Happy,1
14,12,Happy 8 Female.JPG,Happy,Happy,1
14,13,Sad 5 Female.JPG,Happy,Sad,1
14,14,Sad 6 Female.JPG,Sad,Sad,1
14,15,Happy 5 Male.JPG,Sad,Happy,1
14,16,Happy 6 Male.JPG,Happy,Happy,1
14,17,Sad 11 Male.JPG,Happy,Sad,1
14,18,Sad 12 Male.JPG,Sad,Sad,1
14,19,Happy 11 Female.JPG,Sad,Happy,1
14,20,Happy 12 Female.JPG,Happy,Happy,1
14,21,Sad 9 Female.JPG,Happy,Sad,1
14,22,Sad 10 Female.JPG,Sad,Sad,1
14,23,Happy 9 Male.JPG,Sad,Happy,1
14,24,Happy 10 Male.JPG,Happy,Happy,1
14,25,Sad 15 Male.JPG,Happy,Sad,1
14,26,Sad 16 Male.JPG,Sad,Sad,1
14,27,Happy 15 Female.JPG,Sad,Happy,1
14,28,Happy 16 Female.JPG,Happy,Happy,1
14,29,Sad 13 Female.JPG,Happy,Sad,1
14,30,Sad 14 Female.JPG,Sad,Sad,1
14,31,Happy 13 Male.JPG ,Sad,Happy,1
14,32,Happy 14 Male.JPG,Happy,Happy,1
15,1,Sad 3 Male.JPG,Happy,Sad,1
15,2,Sad 4 Male.JPG,Sad,Sad,1
15,3,Happy 3 Female.JPG,Sad,Happy,1
15,4,Happy 4 Female.JPG,Happy,Happy,1
15,5,Sad 1 Female.JPG,Happy,Sad,1
15,6,Sad 2 Female.JPG,Sad,Sad,1
15,7,Happy 1 Male.JPG,Sad,Happy,1
15,8,Happy 2 Male.JPG,Happy,Happy,1
15,9,Sad 7 Male.JPG,Happy,Sad,1
15,10,Sad 8 Male.JPG,Sad,Sad,1
15,11,Happy 7 Female.JPG,Sad,Happy,1
15,12,Happy 8 Female.JPG,Happy,Happy,1
15,13,Sad 5 Female.JPG,Happy,Sad,1
15,14,Sad 6 Female.JPG,Sad,Sad,1
15,15,Happy 5 Male.JPG,Sad,Happy,1
15,16,Happy 6 Male.JPG,Happy,Happy,1
15,17,Sad 11 Male.JPG,Happy,Sad,1
15,18,Sad 12 Male.JPG,Sad,Sad,1
15,19,Happy 11 Female.JPG,Sad,Happy,1
15,20,Happy 12 Female.JPG,Happy,Happy,1
15,21,Sad 9 Female.JPG,Happy,Sad,1
15,22,Sad 10 Female.JPG,Sad,Sad,1
15,23,Happy 9 Male.JPG,Sad,Happy,0
15,24,Happy 10 Male.JPG,Happy,Happy,1
15,25,Sad 15 Male.JPG,Happy,Sad,1
15,26,Sad 16 Male.JPG,Sad,Sad,1
15,27,Happy 15 Female.JPG,Sad,Happy,1
15,28,Happy 16 Female.JPG,Happy,Happy,1
15,29,Sad 13 Female.JPG,Happy,Sad,1
15,30,Sad 14 Female.JPG,Sad,Sad,1
15,31,Happy 13 Male.JPG ,Sad,Happy,1
16,1,Happy 1 Male.JPG,Happy,Happy,1
16,2,Happy 2 Male.JPG,Sad,Happy,1
16,3,Sad 1 Female.JPG,Sad,Sad,1
16,4,Sad 2 Female.JPG,Happy,Sad,1
16,5,Happy 3 Female.JPG,Happy,Happy,1
16,6,Happy 4 Female.JPG,Sad,Happy,1
16,7,Sad 3 Male.JPG,Sad,Sad,1
16,8,Sad 4 Male.JPG,Happy,Sad,1
16,9,Happy 5 Male.JPG,Happy,Happy,1
16,10,Happy 6 Male.JPG,Sad,Happy,1
16,11,Sad 5 Female.JPG,Sad,Sad,1
16,12,Sad 6 Female.JPG,Happy,Sad,1
16,13,Happy 7 Female.JPG,Happy,Happy,1
16,14,Happy 8 Female.JPG,Sad,Happy,1
16,15,Sad 7 Male.JPG,Sad,Sad,1
16,16,Sad 8 Male.JPG,Happy,Sad,1
16,17,Happy 9 Male.JPG,Happy,Happy,1
16,18,Happy 10 Male.JPG,Sad,Happy,1
16,19,Sad 9 Female.JPG,Sad,Sad,1
16,20,Sad 10 Female.JPG,Happy,Sad,1
16,21,Happy 11 Female.JPG,Happy,Happy,1
16,22,Happy 12 Female.JPG,Sad,Happy,1
16,23,Sad 11 Male.JPG,Sad,Sad,1
16,24,Sad 12 Male.JPG,Happy,Sad,1
16,25,Happy 13 Male.JPG,Happy,Happy,1
16,26,Happy 14 Male.JPG,Sad,Happy,1
16,27,Sad 13 Female.JPG,Sad,Sad,1
16,28,Sad 14 Female.JPG,Happy,Sad,1
16,30,Happy 16 Female.JPG,Sad,Happy,1
16,31,Sad 15 Male.JPG,Sad,Sad,1
16,32,Sad 16 Male.JPG,Happy,Sad,1
17,1,Happy 1 Male.JPG,Happy,Happy,1
17,2,Happy 2 Male.JPG,Sad,Happy,1
17,3,Sad 1 Female.JPG,Sad,Sad,1
17,4,Sad 2 Female.JPG,Happy,Sad,1
17,5,Happy 3 Female.JPG,Happy,Happy,1
17,6,Happy 4 Female.JPG,Sad,Happy,1
17,7,Sad 3 Male.JPG,Sad,Sad,1
17,8,Sad 4 Male.JPG,Happy,Sad,1
17,9,Happy 5 Male.JPG,Happy,Happy,1
17,10,Happy 6 Male.JPG,Sad,Happy,1
17,11,Sad 5 Female.JPG,Sad,Sad,1
17,12,Sad 6 Female.JPG,Happy,Sad,1
17,13,Happy 7 Female.JPG,Happy,Happy,1
17,14,Happy 8 Female.JPG,Sad,Happy,1
17,15,Sad 7 Male.JPG,Sad,Sad,1
17,16,Sad 8 Male.JPG,Happy,Sad,1
17,17,Happy 9 Male.JPG,Happy,Happy,1
17,18,Happy 10 Male.JPG,Sad,Happy,1
17,19,Sad 9 Female.JPG,Sad,Sad,1
17,20,Sad 10 Female.JPG,Happy,Sad,1
17,21,Happy 11 Female.JPG,Happy,Happy,1
17,22,Happy 12 Female.JPG,Sad,Happy,1
17,23,Sad 11 Male.JPG,Sad,Sad,1
17,24,Sad 12 Male.JPG,Happy,Sad,1
17,25,Happy 13 Male.JPG,Happy,Happy,1
17,26,Happy 14 Male.JPG,Sad,Happy,1
17,27,Sad 13 Female.JPG,Sad,Sad,1
17,28,Sad 14 Female.JPG,Happy,Sad,1
17,29,Happy 15 Female.JPG,Happy,Happy,1
17,30,Happy 16 Female.JPG,Sad,Happy,1
17,31,Sad 15 Male.JPG,Sad,Sad,1
17,32,Sad 16 Male.JPG,Happy,Sad,1
18,1,Happy 1 Male.JPG,Happy,Happy,1
18,2,Happy 2 Male.JPG,Sad,Happy,1
18,3,Sad 1 Female.JPG,Sad,Sad,1
18,4,Sad 2 Female.JPG,Happy,Sad,1
18,5,Happy 3 Female.JPG,Happy,Happy,1
18,6,Happy 4 Female.JPG,Sad,Happy,1
18,8,Sad 4 Male.JPG,Happy,Sad,1
18,9,Happy 5 Male.JPG,Happy,Happy,1
18,10,Happy 6 Male.JPG,Sad,Happy,1
18,12,Sad 6 Female.JPG,Happy,Sad,1
18,13,Happy 7 Female.JPG,Happy,Happy,1
18,14,Happy 8 Female.JPG,Sad,Happy,1
18,15,Sad 7 Male.JPG,Sad,Sad,1
18,16,Sad 8 Male.JPG,Happy,Sad,1
18,17,Happy 9 Male.JPG,Happy,Happy,1
18,18,Happy 10 Male.JPG,Sad,Happy,1
18,19,Sad 9 Female.JPG,Sad,Sad,1
18,20,Sad 10 Female.JPG,Happy,Sad,1
18,22,Happy 12 Female.JPG,Sad,Happy,1
18,23,Sad 11 Male.JPG,Sad,Sad,1
18,24,Sad 12 Male.JPG,Happy,Sad,1
18,26,Happy 14 Male.JPG,Sad,Happy,1
18,27,Sad 13 Female.JPG,Sad,Sad,1
18,28,Sad 14 Female.JPG,Happy,Sad,1
18,29,Happy 15 Female.JPG,Happy,Happy,1
18,30,Happy 16 Female.JPG,Sad,Happy,1
18,31,Sad 15 Male.JPG,Sad,Sad,1
18,32,Sad 16 Male.JPG,Happy,Sad,1
19,1,Happy 1 Male.JPG,Happy,Happy,1
19,3,Sad 1 Female.JPG,Sad,Sad,1
19,4,Sad 2 Female.JPG,Happy,Sad,1
