Subject,Vignette,Face,Arousal,StoryEmotion,FaceExpression,RT
63,2,Fear 1 Male.JPG,3.67,Anger,Fear,1032
64,2,Fear 1 Male.JPG,3.67,Anger,Fear,1469
65,2,Fear 1 Male.JPG,3.67,Anger,Fear,1277
66,2,Fear 1 Male.JPG,3.67,Anger,Fear,1548
67,2,Fear 1 Male.JPG,3.67,Anger,Fear,1765
68,2,Fear 1 Male.JPG,3.67,Anger,Fear,989
69,2,Fear 1 Male.JPG,3.67,Anger,Fear,1117
71,2,Fear 1 Male.JPG,3.67,Anger,Fear,8493
72,2,Fear 1 Male.JPG,3.67,Anger,Fear,7352
40,3,Anger 2 Male.JPG,3.52,Anger,Anger,2008
44,3,Anger 2 Male.JPG,3.52,Anger,Anger,1180
47,3,Anger 2 Male.JPG,3.52,Anger,Anger,1702
51,3,Anger 2 Male.JPG,3.52,Anger,Anger,1351
53,3,Anger 2 Male.JPG,3.52,Anger,Anger,3697
56,3,Anger 2 Male.JPG,3.52,Anger,Anger,1164
59,3,Anger 2 Male.JPG,3.52,Anger,Anger,1217
63,3,Anger 2 Male.JPG,3.52,Anger,Anger,898
64,3,Anger 2 Male.JPG,3.52,Anger,Anger,1610
65,3,Anger 2 Male.JPG,3.52,Anger,Anger,1227
66,3,Anger 2 Male.JPG,3.52,Anger,Anger,1118
67,3,Anger 2 Male.JPG,3.52,Anger,Anger,1171
68,3,Anger 2 Male.JPG,3.52,Anger,Anger,1141
69,3,Anger 2 Male.JPG,3.52,Anger,Anger,1017
71,3,Anger 2 Male.JPG,3.52,Anger,Anger,1724
72,3,Anger 2 Male.JPG,3.52,Anger,Anger,5565
38,3,Fear 2 Male.JPG,3.54,Anger,Fear,5484
39,3,Fear 2 Male.JPG,3.54,Anger,Fear,2792
42,3,Fear 2 Male.JPG,3.54,Anger,Fear,3173
45,3,Fear 2 Male.JPG,3.54,Anger,Fear,3207
46,3,Fear 2 Male.JPG,3.54,Anger,Fear,3121
48,3,Fear 2 Male.JPG,3.54,Anger,Fear,3344
50,3,Fear 2 Male.JPG,3.54,Anger,Fear,7090
52,3,Fear 2 Male.JPG,3.54,Anger,Fear,1130
54,3,Fear 2 Male.JPG,3.54,Anger,Fear,1760
55,3,Fear 2 Male.JPG,3.54,Anger,Fear,1474
57,3,Fear 2 Male.JPG,3.54,Anger,Fear,4636
58,3,Fear 2 Male.JPG,3.54,Anger,Fear,2328
60,3,Fear 2 Male.JPG,3.54,Anger,Fear,694
61,3,Fear 2 Male.JPG,3.54,Anger,Fear,1418
62,3,Fear 2 Male.JPG,3.54,Anger,Fear,4954
70,3,Fear 2 Male.JPG,3.54,Anger,Fear,1633
39,4,Anger 2 Male.JPG,3.52,Anger,Anger,2137
42,4,Anger 2 Male.JPG,3.52,Anger,Anger,1714
45,4,Anger 2 Male.JPG,3.52,Anger,Anger,1350
46,4,Anger 2 Male.JPG,3.52,Anger,Anger,2168
48,4,Anger 2 Male.JPG,3.52,Anger,Anger,2271
50,4,Anger 2 Male.JPG,3.52,Anger,Anger,4474
52,4,Anger 2 Male.JPG,3.52,Anger,Anger,1227
54,4,Anger 2 Male.JPG,3.52,Anger,Anger,5565
55,4,Anger 2 Male.JPG,3.52,Anger,Anger,2140
57,4,Anger 2 Male.JPG,3.52,Anger,Anger,3394
58,4,Anger 2 Male.JPG,3.52,Anger,Anger,1597
60,4,Anger 2 Male.JPG,3.52,Anger,Anger,611
61,4,Anger 2 Male.JPG,3.52,Anger,Anger,1176
62,4,Anger 2 Male.JPG,3.52,Anger,Anger,5249
70,4,Anger 2 Male.JPG,3.52,Anger,Anger,1082
40,4,Fear 2 Male.JPG,3.54,Anger,Fear,1790
44,4,Fear 2 Male.JPG,3.54,Anger,Fear,2050
47,4,Fear 2 Male.JPG,3.54,Anger,Fear,2341
51,4,Fear 2 Male.JPG,3.54,Anger,Fear,1878
53,4,Fear 2 Male.JPG,3.54,Anger,Fear,3900
56,4,Fear 2 Male.JPG,3.54,Anger,Fear,3225
59,4,Fear 2 Male.JPG,3.54,Anger,Fear,1464
63,4,Fear 2 Male.JPG,3.54,Anger,Fear,1055
64,4,Fear 2 Male.JPG,3.54,Anger,Fear,1447
65,4,Fear 2 Male.JPG,3.54,Anger,Fear,1520
66,4,Fear 2 Male.JPG,3.54,Anger,Fear,1402
67,4,Fear 2 Male.JPG,3.54,Anger,Fear,1273
69,4,Fear 2 Male.JPG,3.54,Anger,Fear,1113
71,4,Fear 2 Male.JPG,3.54,Anger,Fear,2945
72,4,Fear 2 Male.JPG,3.54,Anger,Fear,4960
40,5,Anger 3 Male.JPG,2.87,Anger,Anger,1193
44,5,Anger 3 Male.JPG,2.87,Anger,Anger,1708
47,5,Anger 3 Male.JPG,2.87,Anger,Anger,1367
51,5,Anger 3 Male.JPG,2.87,Anger,Anger,1373
53,5,Anger 3 Male.JPG,2.87,Anger,Anger,2604
59,5,Anger 3 Male.JPG,2.87,Anger,Anger,905
63,5,Anger 3 Male.JPG,2.87,Anger,Anger,1206
66,5,Anger 3 Male.JPG,2.87,Anger,Anger,1124
67,5,Anger 3 Male.JPG,2.87,Anger,Anger,1024
68,5,Anger 3 Male.JPG,2.87,Anger,Anger,1086
69,5,Anger 3 Male.JPG,2.87,Anger,Anger,836
71,5,Anger 3 Male.JPG,2.87,Anger,Anger,1999
72,5,Anger 3 Male.JPG,2.87,Anger,Anger,1888
38,5,Fear 3 Male.JPG,4.31,Anger,Fear,3703
39,5,Fear 3 Male.JPG,4.31,Anger,Fear,2727
42,5,Fear 3 Male.JPG,4.31,Anger,Fear,4074
45,5,Fear 3 Male.JPG,4.31,Anger,Fear,1799
46,5,Fear 3 Male.JPG,4.31,Anger,Fear,1920
48,5,Fear 3 Male.JPG,4.31,Anger,Fear,1321
50,5,Fear 3 Male.JPG,4.31,Anger,Fear,6627
52,5,Fear 3 Male.JPG,4.31,Anger,Fear,1035
54,5,Fear 3 Male.JPG,4.31,Anger,Fear,1912
55,5,Fear 3 Male.JPG,4.31,Anger,Fear,1177
58,5,Fear 3 Male.JPG,4.31,Anger,Fear,1440
61,5,Fear 3 Male.JPG,4.31,Anger,Fear,1133
62,5,Fear 3 Male.JPG,4.31,Anger,Fear,5573
70,5,Fear 3 Male.JPG,4.31,Anger,Fear,822
38,6,Anger 3 Male.JPG,2.87,Anger,Anger,2688
39,6,Anger 3 Male.JPG,2.87,Anger,Anger,1945
42,6,Anger 3 Male.JPG,2.87,Anger,Anger,1901
45,6,Anger 3 Male.JPG,2.87,Anger,Anger,1633
46,6,Anger 3 Male.JPG,2.87,Anger,Anger,1662
48,6,Anger 3 Male.JPG,2.87,Anger,Anger,1022
50,6,Anger 3 Male.JPG,2.87,Anger,Anger,3213
52,6,Anger 3 Male.JPG,2.87,Anger,Anger,1085
54,6,Anger 3 Male.JPG,2.87,Anger,Anger,2246
55,6,Anger 3 Male.JPG,2.87,Anger,Anger,1372
57,6,Anger 3 Male.JPG,2.87,Anger,Anger,3455
58,6,Anger 3 Male.JPG,2.87,Anger,Anger,1810
60,6,Anger 3 Male.JPG,2.87,Anger,Anger,865
61,6,Anger 3 Male.JPG,2.87,Anger,Anger,1393
62,6,Anger 3 Male.JPG,2.87,Anger,Anger,2594
70,6,Anger 3 Male.JPG,2.87,Anger,Anger,1061
40,6,Fear 3 Male.JPG,4.31,Anger,Fear,1189
44,6,Fear 3 Male.JPG,4.31,Anger,Fear,1799
47,6,Fear 3 Male.JPG,4.31,Anger,Fear,2233
51,6,Fear 3 Male.JPG,4.31,Anger,Fear,2652
53,6,Fear 3 Male.JPG,4.31,Anger,Fear,2919
56,6,Fear 3 Male.JPG,4.31,Anger,Fear,1684
59,6,Fear 3 Male.JPG,4.31,Anger,Fear,924
63,6,Fear 3 Male.JPG,4.31,Anger,Fear,947
64,6,Fear 3 Male.JPG,4.31,Anger,Fear,1342
65,6,Fear 3 Male.JPG,4.31,Anger,Fear,1517
66,6,Fear 3 Male.JPG,4.31,Anger,Fear,1154
67,6,Fear 3 Male.JPG,4.31,Anger,Fear,1649
68,6,Fear 3 Male.JPG,4.31,Anger,Fear,1775
69,6,Fear 3 Male.JPG,4.31,Anger,Fear,908
71,6,Fear 3 Male.JPG,4.31,Anger,Fear,1910
72,6,Fear 3 Male.JPG,4.31,Anger,Fear,9652
40,7,Anger 4 Male.JPG,3.39,Anger,Anger,1346
44,7,Anger 4 Male.JPG,3.39,Anger,Anger,1186
51,7,Anger 4 Male.JPG,3.39,Anger,Anger,1824
53,7,Anger 4 Male.JPG,3.39,Anger,Anger,2971
56,7,Anger 4 Male.JPG,3.39,Anger,Anger,3880
59,7,Anger 4 Male.JPG,3.39,Anger,Anger,890
63,7,Anger 4 Male.JPG,3.39,Anger,Anger,752
64,7,Anger 4 Male.JPG,3.39,Anger,Anger,1697
65,7,Anger 4 Male.JPG,3.39,Anger,Anger,991
66,7,Anger 4 Male.JPG,3.39,Anger,Anger,1191
67,7,Anger 4 Male.JPG,3.39,Anger,Anger,2165
68,7,Anger 4 Male.JPG,3.39,Anger,Anger,746
69,7,Anger 4 Male.JPG,3.39,Anger,Anger,1141
71,7,Anger 4 Male.JPG,3.39,Anger,Anger,2172
38,7,Fear 4 Male.JPG,3.29,Anger,Fear,9652
39,7,Fear 4 Male.JPG,3.29,Anger,Fear,4381
42,7,Fear 4 Male.JPG,3.29,Anger,Fear,4656
45,7,Fear 4 Male.JPG,3.29,Anger,Fear,3135
46,7,Fear 4 Male.JPG,3.29,Anger,Fear,3763
48,7,Fear 4 Male.JPG,3.29,Anger,Fear,1648
52,7,Fear 4 Male.JPG,3.29,Anger,Fear,1447
54,7,Fear 4 Male.JPG,3.29,Anger,Fear,1950
55,7,Fear 4 Male.JPG,3.29,Anger,Fear,1354
57,7,Fear 4 Male.JPG,3.29,Anger,Fear,2715
58,7,Fear 4 Male.JPG,3.29,Anger,Fear,1772
61,7,Fear 4 Male.JPG,3.29,Anger,Fear,1349
62,7,Fear 4 Male.JPG,3.29,Anger,Fear,3086
70,7,Fear 4 Male.JPG,3.29,Anger,Fear,1464
38,8,Anger 4 Male.JPG,3.39,Anger,Anger,5565
39,8,Anger 4 Male.JPG,3.39,Anger,Anger,2021
42,8,Anger 4 Male.JPG,3.39,Anger,Anger,2724
45,8,Anger 4 Male.JPG,3.39,Anger,Anger,2338
46,8,Anger 4 Male.JPG,3.39,Anger,Anger,2033
48,8,Anger 4 Male.JPG,3.39,Anger,Anger,1076
50,8,Anger 4 Male.JPG,3.39,Anger,Anger,5565
54,8,Anger 4 Male.JPG,3.39,Anger,Anger,1949
55,8,Anger 4 Male.JPG,3.39,Anger,Anger,2732
57,8,Anger 4 Male.JPG,3.39,Anger,Anger,2661
58,8,Anger 4 Male.JPG,3.39,Anger,Anger,1412
60,8,Anger 4 Male.JPG,3.39,Anger,Anger,695
61,8,Anger 4 Male.JPG,3.39,Anger,Anger,1154
62,8,Anger 4 Male.JPG,3.39,Anger,Anger,2125
70,8,Anger 4 Male.JPG,3.39,Anger,Anger,2077
40,8,Fear 4 Male.JPG,3.29,Anger,Fear,2203
44,8,Fear 4 Male.JPG,3.29,Anger,Fear,2725
47,8,Fear 4 Male.JPG,3.29,Anger,Fear,2241
51,8,Fear 4 Male.JPG,3.29,Anger,Fear,2148
53,8,Fear 4 Male.JPG,3.29,Anger,Fear,2329
56,8,Fear 4 Male.JPG,3.29,Anger,Fear,1014
59,8,Fear 4 Male.JPG,3.29,Anger,Fear,915
63,8,Fear 4 Male.JPG,3.29,Anger,Fear,1684
64,8,Fear 4 Male.JPG,3.29,Anger,Fear,2004
65,8,Fear 4 Male.JPG,3.29,Anger,Fear,1135
66,8,Fear 4 Male.JPG,3.29,Anger,Fear,1241
67,8,Fear 4 Male.JPG,3.29,Anger,Fear,1670
68,8,Fear 4 Male.JPG,3.29,Anger,Fear,967
69,8,Fear 4 Male.JPG,3.29,Anger,Fear,939
71,8,Fear 4 Male.JPG,3.29,Anger,Fear,9652
72,8,Fear 4 Male.JPG,3.29,Anger,Fear,9652
40,9,Anger 1 Female.JPG,3.19,Anger,Anger,1199
44,9,Anger 1 Female.JPG,3.19,Anger,Anger,2010
47,9,Anger 1 Female.JPG,3.19,Anger,Anger,2107
51,9,Anger 1 Female.JPG,3.19,Anger,Anger,1161
53,9,Anger 1 Female.JPG,3.19,Anger,Anger,3291
56,9,Anger 1 Female.JPG,3.19,Anger,Anger,1220
59,9,Anger 1 Female.JPG,3.19,Anger,Anger,941
63,9,Anger 1 Female.JPG,3.19,Anger,Anger,892
64,9,Anger 1 Female.JPG,3.19,Anger,Anger,1402
65,9,Anger 1 Female.JPG,3.19,Anger,Anger,1175
66,9,Anger 1 Female.JPG,3.19,Anger,Anger,755
67,9,Anger 1 Female.JPG,3.19,Anger,Anger,1300
69,9,Anger 1 Female.JPG,3.19,Anger,Anger,1001
71,9,Anger 1 Female.JPG,3.19,Anger,Anger,1758
72,9,Anger 1 Female.JPG,3.19,Anger,Anger,2154
38,9,Fear 1 Female.JPG,4.21,Anger,Fear,9652
39,9,Fear 1 Female.JPG,4.21,Anger,Fear,3045
45,9,Fear 1 Female.JPG,4.21,Anger,Fear,2635
46,9,Fear 1 Female.JPG,4.21,Anger,Fear,3667
50,9,Fear 1 Female.JPG,4.21,Anger,Fear,5922
52,9,Fear 1 Female.JPG,4.21,Anger,Fear,1318
54,9,Fear 1 Female.JPG,4.21,Anger,Fear,1540
55,9,Fear 1 Female.JPG,4.21,Anger,Fear,1599
57,9,Fear 1 Female.JPG,4.21,Anger,Fear,2878
58,9,Fear 1 Female.JPG,4.21,Anger,Fear,988
61,9,Fear 1 Female.JPG,4.21,Anger,Fear,1319
62,9,Fear 1 Female.JPG,4.21,Anger,Fear,6884
70,9,Fear 1 Female.JPG,4.21,Anger,Fear,1529
38,10,Anger 1 Female.JPG,3.19,Anger,Anger,2896
39,10,Anger 1 Female.JPG,3.19,Anger,Anger,2676
42,10,Anger 1 Female.JPG,3.19,Anger,Anger,2464
45,10,Anger 1 Female.JPG,3.19,Anger,Anger,2343
46,10,Anger 1 Female.JPG,3.19,Anger,Anger,1386
48,10,Anger 1 Female.JPG,3.19,Anger,Anger,1103
50,10,Anger 1 Female.JPG,3.19,Anger,Anger,3923
52,10,Anger 1 Female.JPG,3.19,Anger,Anger,1167
54,10,Anger 1 Female.JPG,3.19,Anger,Anger,1248
55,10,Anger 1 Female.JPG,3.19,Anger,Anger,2318
57,10,Anger 1 Female.JPG,3.19,Anger,Anger,1760
58,10,Anger 1 Female.JPG,3.19,Anger,Anger,1400
61,10,Anger 1 Female.JPG,3.19,Anger,Anger,1200
62,10,Anger 1 Female.JPG,3.19,Anger,Anger,2325
70,10,Anger 1 Female.JPG,3.19,Anger,Anger,951
40,10,Fear 1 Female.JPG,4.21,Anger,Fear,1836
44,10,Fear 1 Female.JPG,4.21,Anger,Fear,2897
47,10,Fear 1 Female.JPG,4.21,Anger,Fear,2288
51,10,Fear 1 Female.JPG,4.21,Anger,Fear,1389
53,10,Fear 1 Female.JPG,4.21,Anger,Fear,2520
59,10,Fear 1 Female.JPG,4.21,Anger,Fear,815
63,10,Fear 1 Female.JPG,4.21,Anger,Fear,1127
64,10,Fear 1 Female.JPG,4.21,Anger,Fear,2645
65,10,Fear 1 Female.JPG,4.21,Anger,Fear,1259
66,10,Fear 1 Female.JPG,4.21,Anger,Fear,1631
67,10,Fear 1 Female.JPG,4.21,Anger,Fear,2671
68,10,Fear 1 Female.JPG,4.21,Anger,Fear,1069
69,10,Fear 1 Female.JPG,4.21,Anger,Fear,913
71,10,Fear 1 Female.JPG,4.21,Anger,Fear,8715
40,11,Anger 2 Female.JPG,3.16,Anger,Anger,1638
44,11,Anger 2 Female.JPG,3.16,Anger,Anger,1700
47,11,Anger 2 Female.JPG,3.16,Anger,Anger,1475
51,11,Anger 2 Female.JPG,3.16,Anger,Anger,1277
53,11,Anger 2 Female.JPG,3.16,Anger,Anger,2604
56,11,Anger 2 Female.JPG,3.16,Anger,Anger,1752
59,11,Anger 2 Female.JPG,3.16,Anger,Anger,919
63,11,Anger 2 Female.JPG,3.16,Anger,Anger,1166
64,11,Anger 2 Female.JPG,3.16,Anger,Anger,1173
65,11,Anger 2 Female.JPG,3.16,Anger,Anger,1127
66,11,Anger 2 Female.JPG,3.16,Anger,Anger,1086
67,11,Anger 2 Female.JPG,3.16,Anger,Anger,1310
68,11,Anger 2 Female.JPG,3.16,Anger,Anger,1010
69,11,Anger 2 Female.JPG,3.16,Anger,Anger,933
71,11,Anger 2 Female.JPG,3.16,Anger,Anger,2903
72,11,Anger 2 Female.JPG,3.16,Anger,Anger,3644
38,11,Fear 2 Female.JPG,3.61,Anger,Fear,3961
42,11,Fear 2 Female.JPG,3.61,Anger,Fear,5131
45,11,Fear 2 Female.JPG,3.61,Anger,Fear,1485
46,11,Fear 2 Female.JPG,3.61,Anger,Fear,1497
48,11,Fear 2 Female.JPG,3.61,Anger,Fear,1639
50,11,Fear 2 Female.JPG,3.61,Anger,Fear,9652
52,11,Fear 2 Female.JPG,3.61,Anger,Fear,1667
54,11,Fear 2 Female.JPG,3.61,Anger,Fear,3368
55,11,Fear 2 Female.JPG,3.61,Anger,Fear,2715
57,11,Fear 2 Female.JPG,3.61,Anger,Fear,2634
58,11,Fear 2 Female.JPG,3.61,Anger,Fear,1705
62,11,Fear 2 Female.JPG,3.61,Anger,Fear,3754
70,11,Fear 2 Female.JPG,3.61,Anger,Fear,1175
38,12,Anger 2 Female.JPG,3.16,Anger,Anger,2333
39,12,Anger 2 Female.JPG,3.16,Anger,Anger,2152
42,12,Anger 2 Female.JPG,3.16,Anger,Anger,1915
45,12,Anger 2 Female.JPG,3.16,Anger,Anger,1363
46,12,Anger 2 Female.JPG,3.16,Anger,Anger,1969
48,12,Anger 2 Female.JPG,3.16,Anger,Anger,1390
50,12,Anger 2 Female.JPG,3.16,Anger,Anger,2279
52,12,Anger 2 Female.JPG,3.16,Anger,Anger,1263
54,12,Anger 2 Female.JPG,3.16,Anger,Anger,1625
55,12,Anger 2 Female.JPG,3.16,Anger,Anger,2654
58,12,Anger 2 Female.JPG,3.16,Anger,Anger,1138
60,12,Anger 2 Female.JPG,3.16,Anger,Anger,488
62,12,Anger 2 Female.JPG,3.16,Anger,Anger,3168
70,12,Anger 2 Female.JPG,3.16,Anger,Anger,1105
40,12,Fear 2 Female.JPG,3.61,Anger,Fear,1414
47,12,Fear 2 Female.JPG,3.61,Anger,Fear,2154
51,12,Fear 2 Female.JPG,3.61,Anger,Fear,1705
53,12,Fear 2 Female.JPG,3.61,Anger,Fear,2945
56,12,Fear 2 Female.JPG,3.61,Anger,Fear,1581
59,12,Fear 2 Female.JPG,3.61,Anger,Fear,1553
63,12,Fear 2 Female.JPG,3.61,Anger,Fear,1301
64,12,Fear 2 Female.JPG,3.61,Anger,Fear,2459
65,12,Fear 2 Female.JPG,3.61,Anger,Fear,1669
66,12,Fear 2 Female.JPG,3.61,Anger,Fear,1571
67,12,Fear 2 Female.JPG,3.61,Anger,Fear,1025
68,12,Fear 2 Female.JPG,3.61,Anger,Fear,1935
69,12,Fear 2 Female.JPG,3.61,Anger,Fear,988
71,12,Fear 2 Female.JPG,3.61,Anger,Fear,2632
72,12,Fear 2 Female.JPG,3.61,Anger,Fear,9373
40,13,Anger 3 Female.JPG,2.89,Anger,Anger,1136
47,13,Anger 3 Female.JPG,2.89,Anger,Anger,1450
51,13,Anger 3 Female.JPG,2.89,Anger,Anger,1403
53,13,Anger 3 Female.JPG,2.89,Anger,Anger,5565
56,13,Anger 3 Female.JPG,2.89,Anger,Anger,1636
59,13,Anger 3 Female.JPG,2.89,Anger,Anger,1614
63,13,Anger 3 Female.JPG,2.89,Anger,Anger,1338
64,13,Anger 3 Female.JPG,2.89,Anger,Anger,998
65,13,Anger 3 Female.JPG,2.89,Anger,Anger,1181
66,13,Anger 3 Female.JPG,2.89,Anger,Anger,1763
67,13,Anger 3 Female.JPG,2.89,Anger,Anger,1807
68,13,Anger 3 Female.JPG,2.89,Anger,Anger,902
69,13,Anger 3 Female.JPG,2.89,Anger,Anger,1269
71,13,Anger 3 Female.JPG,2.89,Anger,Anger,1933
39,13,Fear 3 Female.JPG,3.42,Anger,Fear,2936
42,13,Fear 3 Female.JPG,3.42,Anger,Fear,2896
45,13,Fear 3 Female.JPG,3.42,Anger,Fear,2162
48,13,Fear 3 Female.JPG,3.42,Anger,Fear,1234
52,13,Fear 3 Female.JPG,3.42,Anger,Fear,1733
54,13,Fear 3 Female.JPG,3.42,Anger,Fear,1790
55,13,Fear 3 Female.JPG,3.42,Anger,Fear,3268
57,13,Fear 3 Female.JPG,3.42,Anger,Fear,4179
58,13,Fear 3 Female.JPG,3.42,Anger,Fear,1853
60,13,Fear 3 Female.JPG,3.42,Anger,Fear,1054
61,13,Fear 3 Female.JPG,3.42,Anger,Fear,1314
70,13,Fear 3 Female.JPG,3.42,Anger,Fear,1329
38,14,Anger 3 Female.JPG,2.89,Anger,Anger,3841
39,14,Anger 3 Female.JPG,2.89,Anger,Anger,5018
42,14,Anger 3 Female.JPG,2.89,Anger,Anger,2585
45,14,Anger 3 Female.JPG,2.89,Anger,Anger,3411
46,14,Anger 3 Female.JPG,2.89,Anger,Anger,2251
48,14,Anger 3 Female.JPG,2.89,Anger,Anger,3033
50,14,Anger 3 Female.JPG,2.89,Anger,Anger,5341
52,14,Anger 3 Female.JPG,2.89,Anger,Anger,1900
54,14,Anger 3 Female.JPG,2.89,Anger,Anger,2144
55,14,Anger 3 Female.JPG,2.89,Anger,Anger,1804
58,14,Anger 3 Female.JPG,2.89,Anger,Anger,1454
60,14,Anger 3 Female.JPG,2.89,Anger,Anger,682
61,14,Anger 3 Female.JPG,2.89,Anger,Anger,1223
62,14,Anger 3 Female.JPG,2.89,Anger,Anger,3216
70,14,Anger 3 Female.JPG,2.89,Anger,Anger,1675
40,14,Fear 3 Female.JPG,3.42,Anger,Fear,1837
44,14,Fear 3 Female.JPG,3.42,Anger,Fear,3238
47,14,Fear 3 Female.JPG,3.42,Anger,Fear,3535
53,14,Fear 3 Female.JPG,3.42,Anger,Fear,2536
56,14,Fear 3 Female.JPG,3.42,Anger,Fear,2022
59,14,Fear 3 Female.JPG,3.42,Anger,Fear,1714
63,14,Fear 3 Female.JPG,3.42,Anger,Fear,1601
64,14,Fear 3 Female.JPG,3.42,Anger,Fear,1421
65,14,Fear 3 Female.JPG,3.42,Anger,Fear,1204
67,14,Fear 3 Female.JPG,3.42,Anger,Fear,1477
68,14,Fear 3 Female.JPG,3.42,Anger,Fear,1151
71,14,Fear 3 Female.JPG,3.42,Anger,Fear,4173
72,14,Fear 3 Female.JPG,3.42,Anger,Fear,7464
40,15,Anger 4 Female.JPG,3.17,Anger,Anger,1210
44,15,Anger 4 Female.JPG,3.17,Anger,Anger,1128
47,15,Anger 4 Female.JPG,3.17,Anger,Anger,1520
51,15,Anger 4 Female.JPG,3.17,Anger,Anger,1857
53,15,Anger 4 Female.JPG,3.17,Anger,Anger,2982
56,15,Anger 4 Female.JPG,3.17,Anger,Anger,1668
59,15,Anger 4 Female.JPG,3.17,Anger,Anger,776
63,15,Anger 4 Female.JPG,3.17,Anger,Anger,829
64,15,Anger 4 Female.JPG,3.17,Anger,Anger,1023
65,15,Anger 4 Female.JPG,3.17,Anger,Anger,1255
66,15,Anger 4 Female.JPG,3.17,Anger,Anger,1032
67,15,Anger 4 Female.JPG,3.17,Anger,Anger,1324
68,15,Anger 4 Female.JPG,3.17,Anger,Anger,1173
69,15,Anger 4 Female.JPG,3.17,Anger,Anger,757
71,15,Anger 4 Female.JPG,3.17,Anger,Anger,2358
72,15,Anger 4 Female.JPG,3.17,Anger,Anger,4795
39,15,Fear 4 Female.JPG,4.08,Anger,Fear,3100
42,15,Fear 4 Female.JPG,4.08,Anger,Fear,2880
45,15,Fear 4 Female.JPG,4.08,Anger,Fear,2306
46,15,Fear 4 Female.JPG,4.08,Anger,Fear,1390
48,15,Fear 4 Female.JPG,4.08,Anger,Fear,2487
52,15,Fear 4 Female.JPG,4.08,Anger,Fear,2066
54,15,Fear 4 Female.JPG,4.08,Anger,Fear,2239
55,15,Fear 4 Female.JPG,4.08,Anger,Fear,2272
57,15,Fear 4 Female.JPG,4.08,Anger,Fear,3948
58,15,Fear 4 Female.JPG,4.08,Anger,Fear,1671
60,15,Fear 4 Female.JPG,4.08,Anger,Fear,659
62,15,Fear 4 Female.JPG,4.08,Anger,Fear,5112
70,15,Fear 4 Female.JPG,4.08,Anger,Fear,1169
38,16,Anger 4 Female.JPG,3.17,Anger,Anger,1990
39,16,Anger 4 Female.JPG,3.17,Anger,Anger,2290
