Subject,Vignette,Face,Experiment,StoryEmotion,FaceExpression,Congruency,RT
28,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1202
29,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1748
30,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1399
31,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,837
32,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1396
34,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,806
36,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1626
37,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,865
49,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1024
100,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1541
200,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,2757
38,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,2651
39,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,2956
40,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1575
42,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,2294
44,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,3089
45,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,2106
46,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1556
47,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,3521
48,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1174
50,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,5277
51,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,3742
52,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1125
53,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1831
54,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1625
55,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1466
56,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1149
57,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,5565
58,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1236
59,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1230
60,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,476
61,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1045
62,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1640
63,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1032
64,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1469
65,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1277
66,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1548
67,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1765
68,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,989
69,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1117
70,2,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1346
71,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,8493
72,2,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,7352
1,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1662
2,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1206
5,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1658
6,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,2389
8,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1544
9,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1263
11,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,909
12,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1019
13,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1963
14,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1970
15,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,873
16,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1237
17,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1547
18,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1068
20,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1461
21,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,838
22,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1392
26,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,674
27,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,767
28,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,771
29,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,2003
30,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,1747
31,34,Happy 2 Male.JPG,2,Sad,Happy,Incongruent,848
34,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,669
36,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1194
37,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1263
100,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1620
200,34,Sad 4 Male.JPG,2,Sad,Sad,Congruent,1670
38,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,5484
39,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,2792
40,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,2008
42,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,3173
44,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1180
45,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,3207
46,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,3121
47,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1702
48,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,3344
50,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,7090
51,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1351
52,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1130
53,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,3697
54,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1760
55,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1474
56,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1164
57,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,4636
58,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,2328
59,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1217
60,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,694
61,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1418
62,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,4954
63,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,898
64,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1610
65,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1227
66,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1118
67,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1171
68,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1141
69,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1017
70,3,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1633
71,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1724
72,3,Anger 2 Male.JPG,1,Anger,Anger,Congruent,5565
1,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1306
2,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1321
5,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,766
6,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1898
8,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1806
9,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1348
10,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1357
11,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1432
12,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1346
13,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1614
15,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,968
16,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1470
17,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1505
18,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1489
19,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1398
20,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,951
21,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1155
22,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1201
26,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1081
27,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,956
29,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1815
30,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1337
31,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,689
32,35,Sad 1 Female.JPG,2,Sad,Sad,Congruent,1231
34,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,967
36,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1750
37,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1566
49,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,2561
100,35,Happy 3 Female.JPG,2,Sad,Happy,Incongruent,1592
39,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,2137
40,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1790
42,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1714
44,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,2050
45,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1350
46,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,2168
47,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,2341
48,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,2271
50,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,4474
51,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1878
52,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1227
53,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,3900
54,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,5565
55,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,2140
56,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,3225
57,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,3394
58,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1597
59,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1464
60,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,611
61,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1176
62,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,5249
63,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1055
64,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1447
65,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1520
66,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1402
67,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1273
69,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,1113
70,4,Anger 2 Male.JPG,1,Anger,Anger,Congruent,1082
71,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,2945
72,4,Fear 2 Male.JPG,1,Anger,Fear,Incongruent,4960
1,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1514
2,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1602
5,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,848
6,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,8071
8,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,1283
9,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1191
10,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1237
11,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,747
12,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,1003
13,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,2396
14,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,1938
15,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,793
16,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1363
17,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1218
18,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1288
19,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,920
20,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1362
21,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,828
26,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,865
27,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,822
28,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,899
29,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,4664
30,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1166
31,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1094
32,36,Sad 2 Female.JPG,2,Happy,Sad,Incongruent,1397
34,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,1104
36,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,1427
37,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,806
100,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,1057
200,36,Happy 4 Female.JPG,2,Happy,Happy,Congruent,1240
38,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,3703
39,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,2727
40,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1193
42,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,4074
44,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1708
45,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1799
46,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1920
47,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1367
48,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1321
50,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,6627
51,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1373
52,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1035
53,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,2604
54,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1912
55,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1177
58,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1440
59,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,905
61,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1133
62,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,5573
63,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1206
66,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1124
67,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1024
68,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1086
69,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,836
70,5,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,822
71,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1999
72,5,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1888
1,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1220
2,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1208
5,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1205
6,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1377
8,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1627
9,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1016
10,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1012
11,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,973
12,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1368
13,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1988
14,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,2230
15,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,760
16,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1759
17,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1227
18,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,966
19,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,870
20,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,973
21,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,757
22,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1385
27,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1142
29,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1753
30,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1545
31,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,718
32,37,Happy 3 Female.JPG,2,Happy,Happy,Congruent,1392
34,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1048
36,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,2056
37,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1019
49,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1718
100,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,1684
200,37,Sad 1 Female.JPG,2,Happy,Sad,Incongruent,2014
38,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,2688
39,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1945
40,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1189
42,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1901
44,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1799
45,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1633
46,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1662
47,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,2233
48,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1022
50,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,3213
51,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,2652
52,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1085
53,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,2919
54,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,2246
55,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1372
56,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1684
57,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,3455
58,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1810
59,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,924
60,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,865
61,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1393
62,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,2594
63,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,947
64,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1342
65,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1517
66,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1154
67,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1649
68,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1775
69,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,908
70,6,Anger 3 Male.JPG,1,Anger,Anger,Congruent,1061
71,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,1910
72,6,Fear 3 Male.JPG,1,Anger,Fear,Incongruent,9652
1,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,2552
2,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1481
5,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1437
6,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,2051
8,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1247
9,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1296
10,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1398
11,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,814
12,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,787
13,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1448
14,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1545
15,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1007
16,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1162
17,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,3339
18,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1262
19,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1100
20,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1227
21,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,782
22,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,997
26,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,769
27,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1442
28,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,846
29,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,2606
30,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,1322
31,38,Happy 4 Female.JPG,2,Sad,Happy,Incongruent,674
34,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,615
36,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1045
37,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,893
49,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,872
100,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1176
200,38,Sad 2 Female.JPG,2,Sad,Sad,Congruent,1666
38,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,9652
39,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,4381
40,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,1346
42,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,4656
44,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,1186
45,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,3135
46,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,3763
48,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,1648
51,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,1824
52,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,1447
53,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,2971
54,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,1950
55,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,1354
56,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,3880
57,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,2715
58,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,1772
59,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,890
61,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,1349
62,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,3086
63,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,752
64,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,1697
65,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,991
66,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,1191
67,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,2165
68,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,746
69,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,1141
70,7,Fear 4 Male.JPG,1,Anger,Fear,Incongruent,1464
71,7,Anger 4 Male.JPG,1,Anger,Anger,Congruent,2172
1,39,Sad 3 Male.JPG,2,Sad,Sad,Congruent,1480
2,39,Sad 3 Male.JPG,2,Sad,Sad,Congruent,1299
5,39,Happy 1 Male.JPG,2,Sad,Happy,Incongruent,1122
6,39,Sad 3 Male.JPG,2,Sad,Sad,Congruent,1426
8,39,Happy 1 Male.JPG,2,Sad,Happy,Incongruent,2786
9,39,Sad 3 Male.JPG,2,Sad,Sad,Congruent,1023
10,39,Sad 3 Male.JPG,2,Sad,Sad,Congruent,995
11,39,Happy 1 Male.JPG,2,Sad,Happy,Incongruent,1497
