Subject,Vignette,Face,StoryEmotion,FaceExpression,RT
28,6,Sad 2 Female.JPG,Sad,Sad,846
29,6,Happy 4 Female.JPG,Sad,Happy,2606
30,6,Happy 4 Female.JPG,Sad,Happy,1322
31,6,Happy 4 Female.JPG,Sad,Happy,674
34,6,Sad 2 Female.JPG,Sad,Sad,615
36,6,Sad 2 Female.JPG,Sad,Sad,1045
37,6,Sad 2 Female.JPG,Sad,Sad,893
49,6,Sad 2 Female.JPG,Sad,Sad,872
1,7,Sad 3 Male.JPG,Sad,Sad,1480
100,7,Happy 1 Male.JPG,Sad,Happy,1181
2,7,Sad 3 Male.JPG,Sad,Sad,1299
200,7,Happy 1 Male.JPG,Sad,Happy,2258
5,7,Happy 1 Male.JPG,Sad,Happy,1122
6,7,Sad 3 Male.JPG,Sad,Sad,1426
8,7,Happy 1 Male.JPG,Sad,Happy,2786
9,7,Sad 3 Male.JPG,Sad,Sad,1023
10,7,Sad 3 Male.JPG,Sad,Sad,995
11,7,Happy 1 Male.JPG,Sad,Happy,1497
12,7,Happy 1 Male.JPG,Sad,Happy,1019
13,7,Sad 3 Male.JPG,Sad,Sad,1885
14,7,Happy 1 Male.JPG,Sad,Happy,2335
15,7,Happy 1 Male.JPG,Sad,Happy,1390
16,7,Sad 3 Male.JPG,Sad,Sad,1154
17,7,Sad 3 Male.JPG,Sad,Sad,1158
19,7,Sad 3 Male.JPG,Sad,Sad,698
21,7,Sad 3 Male.JPG,Sad,Sad,852
22,7,Happy 1 Male.JPG,Sad,Happy,1514
27,7,Happy 1 Male.JPG,Sad,Happy,832
29,7,Sad 3 Male.JPG,Sad,Sad,1697
30,7,Sad 3 Male.JPG,Sad,Sad,1523
31,7,Sad 3 Male.JPG,Sad,Sad,806
32,7,Sad 3 Male.JPG,Sad,Sad,1215
34,7,Happy 1 Male.JPG,Sad,Happy,1429
36,7,Happy 1 Male.JPG,Sad,Happy,2376
37,7,Happy 1 Male.JPG,Sad,Happy,1729
1,9,Happy 5 Male.JPG,Happy,Happy,1349
100,9,Sad 7 Male.JPG,Happy,Sad,1188
2,9,Happy 5 Male.JPG,Happy,Happy,2571
200,9,Sad 7 Male.JPG,Happy,Sad,1866
5,9,Sad 7 Male.JPG,Happy,Sad,1408
6,9,Happy 5 Male.JPG,Happy,Happy,1388
8,9,Sad 7 Male.JPG,Happy,Sad,1509
9,9,Happy 5 Male.JPG,Happy,Happy,1031
10,9,Happy 5 Male.JPG,Happy,Happy,1423
11,9,Sad 7 Male.JPG,Happy,Sad,1076
12,9,Sad 7 Male.JPG,Happy,Sad,920
13,9,Happy 5 Male.JPG,Happy,Happy,1339
14,9,Sad 7 Male.JPG,Happy,Sad,1773
15,9,Sad 7 Male.JPG,Happy,Sad,1358
16,9,Happy 5 Male.JPG,Happy,Happy,1425
17,9,Happy 5 Male.JPG,Happy,Happy,1304
18,9,Happy 5 Male.JPG,Happy,Happy,1163
19,9,Happy 5 Male.JPG,Happy,Happy,838
20,9,Happy 5 Male.JPG,Happy,Happy,1134
21,9,Happy 5 Male.JPG,Happy,Happy,916
22,9,Sad 7 Male.JPG,Happy,Sad,1623
26,9,Sad 7 Male.JPG,Happy,Sad,1436
27,9,Sad 7 Male.JPG,Happy,Sad,1915
28,9,Sad 7 Male.JPG,Happy,Sad,1289
29,9,Happy 5 Male.JPG,Happy,Happy,2663
31,9,Happy 5 Male.JPG,Happy,Happy,747
32,9,Happy 5 Male.JPG,Happy,Happy,1459
36,9,Sad 7 Male.JPG,Happy,Sad,2978
37,9,Sad 7 Male.JPG,Happy,Sad,1374
100,11,Happy 7 Female.JPG,Sad,Happy,965
6,11,Sad 5 Female.JPG,Sad,Sad,1608
9,11,Sad 5 Female.JPG,Sad,Sad,1102
10,11,Sad 5 Female.JPG,Sad,Sad,1091
11,11,Happy 7 Female.JPG,Sad,Happy,1099
13,11,Sad 5 Female.JPG,Sad,Sad,1698
14,11,Happy 7 Female.JPG,Sad,Happy,1666
15,11,Happy 7 Female.JPG,Sad,Happy,1041
16,11,Sad 5 Female.JPG,Sad,Sad,1623
17,11,Sad 5 Female.JPG,Sad,Sad,1465
19,11,Sad 5 Female.JPG,Sad,Sad,915
20,11,Sad 5 Female.JPG,Sad,Sad,1670
21,11,Sad 5 Female.JPG,Sad,Sad,878
22,11,Happy 7 Female.JPG,Sad,Happy,1841
26,11,Happy 7 Female.JPG,Sad,Happy,714
27,11,Happy 7 Female.JPG,Sad,Happy,753
28,11,Happy 7 Female.JPG,Sad,Happy,832
29,11,Sad 5 Female.JPG,Sad,Sad,1892
30,11,Sad 5 Female.JPG,Sad,Sad,1199
31,11,Sad 5 Female.JPG,Sad,Sad,752
32,11,Sad 5 Female.JPG,Sad,Sad,1267
34,11,Happy 7 Female.JPG,Sad,Happy,693
36,11,Happy 7 Female.JPG,Sad,Happy,1511
37,11,Happy 7 Female.JPG,Sad,Happy,1097
49,11,Happy 7 Female.JPG,Sad,Happy,3279
1,12,Sad 6 Female.JPG,Happy,Sad,1323
100,12,Happy 8 Female.JPG,Happy,Happy,1736
2,12,Sad 6 Female.JPG,Happy,Sad,1739
200,12,Happy 8 Female.JPG,Happy,Happy,2137
5,12,Happy 8 Female.JPG,Happy,Happy,931
6,12,Sad 6 Female.JPG,Happy,Sad,2812
8,12,Happy 8 Female.JPG,Happy,Happy,1811
9,12,Sad 6 Female.JPG,Happy,Sad,1184
10,12,Sad 6 Female.JPG,Happy,Sad,1216
11,12,Happy 8 Female.JPG,Happy,Happy,748
12,12,Happy 8 Female.JPG,Happy,Happy,1137
13,12,Sad 6 Female.JPG,Happy,Sad,3260
14,12,Happy 8 Female.JPG,Happy,Happy,1046
15,12,Happy 8 Female.JPG,Happy,Happy,760
16,12,Sad 6 Female.JPG,Happy,Sad,1553
17,12,Sad 6 Female.JPG,Happy,Sad,1496
18,12,Sad 6 Female.JPG,Happy,Sad,1380
19,12,Sad 6 Female.JPG,Happy,Sad,1514
20,12,Sad 6 Female.JPG,Happy,Sad,1742
21,12,Sad 6 Female.JPG,Happy,Sad,1127
22,12,Happy 8 Female.JPG,Happy,Happy,1307
26,12,Happy 8 Female.JPG,Happy,Happy,986
27,12,Happy 8 Female.JPG,Happy,Happy,718
28,12,Happy 8 Female.JPG,Happy,Happy,866
29,12,Sad 6 Female.JPG,Happy,Sad,1935
30,12,Sad 6 Female.JPG,Happy,Sad,1297
32,12,Sad 6 Female.JPG,Happy,Sad,1686
34,12,Happy 8 Female.JPG,Happy,Happy,952
36,12,Happy 8 Female.JPG,Happy,Happy,1996
37,12,Happy 8 Female.JPG,Happy,Happy,771
49,12,Happy 8 Female.JPG,Happy,Happy,853
1,13,Happy 7 Female.JPG,Happy,Happy,1399
100,13,Sad 5 Female.JPG,Happy,Sad,1270
2,13,Happy 7 Female.JPG,Happy,Happy,1296
200,13,Sad 5 Female.JPG,Happy,Sad,1610
5,13,Sad 5 Female.JPG,Happy,Sad,1299
6,13,Happy 7 Female.JPG,Happy,Happy,2335
10,13,Happy 7 Female.JPG,Happy,Happy,1216
11,13,Sad 5 Female.JPG,Happy,Sad,1788
12,13,Sad 5 Female.JPG,Happy,Sad,1129
13,13,Happy 7 Female.JPG,Happy,Happy,2268
14,13,Sad 5 Female.JPG,Happy,Sad,2652
15,13,Sad 5 Female.JPG,Happy,Sad,824
16,13,Happy 7 Female.JPG,Happy,Happy,1128
17,13,Happy 7 Female.JPG,Happy,Happy,1189
18,13,Happy 7 Female.JPG,Happy,Happy,765
19,13,Happy 7 Female.JPG,Happy,Happy,957
20,13,Happy 7 Female.JPG,Happy,Happy,900
21,13,Happy 7 Female.JPG,Happy,Happy,1044
22,13,Sad 5 Female.JPG,Happy,Sad,1330
26,13,Sad 5 Female.JPG,Happy,Sad,1097
27,13,Sad 5 Female.JPG,Happy,Sad,1056
28,13,Sad 5 Female.JPG,Happy,Sad,1234
29,13,Happy 7 Female.JPG,Happy,Happy,1450
30,13,Happy 7 Female.JPG,Happy,Happy,2773
31,13,Happy 7 Female.JPG,Happy,Happy,764
34,13,Sad 5 Female.JPG,Happy,Sad,1175
36,13,Sad 5 Female.JPG,Happy,Sad,2848
37,13,Sad 5 Female.JPG,Happy,Sad,1677
1,14,Happy 8 Female.JPG,Sad,Happy,1331
100,14,Sad 6 Female.JPG,Sad,Sad,1168
2,14,Happy 8 Female.JPG,Sad,Happy,1546
200,14,Sad 6 Female.JPG,Sad,Sad,1360
5,14,Sad 6 Female.JPG,Sad,Sad,1389
6,14,Happy 8 Female.JPG,Sad,Happy,3842
8,14,Sad 6 Female.JPG,Sad,Sad,1935
9,14,Happy 8 Female.JPG,Sad,Happy,1353
10,14,Happy 8 Female.JPG,Sad,Happy,1105
11,14,Sad 6 Female.JPG,Sad,Sad,1023
12,14,Sad 6 Female.JPG,Sad,Sad,866
13,14,Happy 8 Female.JPG,Sad,Happy,1505
14,14,Sad 6 Female.JPG,Sad,Sad,1136
15,14,Sad 6 Female.JPG,Sad,Sad,688
16,14,Happy 8 Female.JPG,Sad,Happy,1602
17,14,Happy 8 Female.JPG,Sad,Happy,1485
18,14,Happy 8 Female.JPG,Sad,Happy,1045
19,14,Happy 8 Female.JPG,Sad,Happy,1329
20,14,Happy 8 Female.JPG,Sad,Happy,903
21,14,Happy 8 Female.JPG,Sad,Happy,699
22,14,Sad 6 Female.JPG,Sad,Sad,1845
26,14,Sad 6 Female.JPG,Sad,Sad,793
27,14,Sad 6 Female.JPG,Sad,Sad,2208
29,14,Happy 8 Female.JPG,Sad,Happy,7540
30,14,Happy 8 Female.JPG,Sad,Happy,2013
32,14,Happy 8 Female.JPG,Sad,Happy,1512
34,14,Sad 6 Female.JPG,Sad,Sad,809
36,14,Sad 6 Female.JPG,Sad,Sad,1314
37,14,Sad 6 Female.JPG,Sad,Sad,1286
49,14,Sad 6 Female.JPG,Sad,Sad,1665
1,16,Sad 8 Male.JPG,Happy,Sad,1651
100,16,Happy 6 Male.JPG,Happy,Happy,1329
2,16,Sad 8 Male.JPG,Happy,Sad,3640
5,16,Happy 6 Male.JPG,Happy,Happy,1140
6,16,Sad 8 Male.JPG,Happy,Sad,1800
8,16,Happy 6 Male.JPG,Happy,Happy,2125
9,16,Sad 8 Male.JPG,Happy,Sad,1192
11,16,Happy 6 Male.JPG,Happy,Happy,1428
12,16,Happy 6 Male.JPG,Happy,Happy,1124
13,16,Sad 8 Male.JPG,Happy,Sad,1724
14,16,Happy 6 Male.JPG,Happy,Happy,1616
15,16,Happy 6 Male.JPG,Happy,Happy,882
16,16,Sad 8 Male.JPG,Happy,Sad,1872
17,16,Sad 8 Male.JPG,Happy,Sad,1289
18,16,Sad 8 Male.JPG,Happy,Sad,1530
19,16,Sad 8 Male.JPG,Happy,Sad,2085
21,16,Sad 8 Male.JPG,Happy,Sad,759
22,16,Happy 6 Male.JPG,Happy,Happy,1541
26,16,Happy 6 Male.JPG,Happy,Happy,1381
27,16,Happy 6 Male.JPG,Happy,Happy,1099
28,16,Happy 6 Male.JPG,Happy,Happy,1379
30,16,Sad 8 Male.JPG,Happy,Sad,1208
31,16,Sad 8 Male.JPG,Happy,Sad,842
32,16,Sad 8 Male.JPG,Happy,Sad,1539
36,16,Happy 6 Male.JPG,Happy,Happy,1896
37,16,Happy 6 Male.JPG,Happy,Happy,1222
49,16,Happy 6 Male.JPG,Happy,Happy,1613
1,17,Happy 9 Male.JPG,Happy,Happy,1343
100,17,Sad 11 Male.JPG,Happy,Sad,1311
200,17,Sad 11 Male.JPG,Happy,Sad,2564
5,17,Sad 11 Male.JPG,Happy,Sad,1524
6,17,Happy 9 Male.JPG,Happy,Happy,1422
8,17,Sad 11 Male.JPG,Happy,Sad,1888
9,17,Happy 9 Male.JPG,Happy,Happy,1072
10,17,Happy 9 Male.JPG,Happy,Happy,1504
11,17,Sad 11 Male.JPG,Happy,Sad,1449
13,17,Happy 9 Male.JPG,Happy,Happy,2079
14,17,Sad 11 Male.JPG,Happy,Sad,1321
15,17,Sad 11 Male.JPG,Happy,Sad,1298
16,17,Happy 9 Male.JPG,Happy,Happy,1114
17,17,Happy 9 Male.JPG,Happy,Happy,1213
18,17,Happy 9 Male.JPG,Happy,Happy,1141
19,17,Happy 9 Male.JPG,Happy,Happy,922
21,17,Happy 9 Male.JPG,Happy,Happy,744
26,17,Sad 11 Male.JPG,Happy,Sad,1142
28,17,Sad 11 Male.JPG,Happy,Sad,2343
29,17,Happy 9 Male.JPG,Happy,Happy,1678
30,17,Happy 9 Male.JPG,Happy,Happy,1508
31,17,Happy 9 Male.JPG,Happy,Happy,741
32,17,Happy 9 Male.JPG,Happy,Happy,1362
34,17,Sad 11 Male.JPG,Happy,Sad,759
36,17,Sad 11 Male.JPG,Happy,Sad,3527
37,17,Sad 11 Male.JPG,Happy,Sad,1113
49,17,Sad 11 Male.JPG,Happy,Sad,1905
1,20,Sad 10 Female.JPG,Happy,Sad,1803
100,20,Happy 12 Female.JPG,Happy,Happy,1192
2,20,Sad 10 Female.JPG,Happy,Sad,2637
5,20,Happy 12 Female.JPG,Happy,Happy,980
6,20,Sad 10 Female.JPG,Happy,Sad,2489
8,20,Happy 12 Female.JPG,Happy,Happy,1728
9,20,Sad 10 Female.JPG,Happy,Sad,1076
10,20,Sad 10 Female.JPG,Happy,Sad,1980
11,20,Happy 12 Female.JPG,Happy,Happy,1043
12,20,Happy 12 Female.JPG,Happy,Happy,1070
13,20,Sad 10 Female.JPG,Happy,Sad,5716
14,20,Happy 12 Female.JPG,Happy,Happy,1767
15,20,Happy 12 Female.JPG,Happy,Happy,876
16,20,Sad 10 Female.JPG,Happy,Sad,1908
17,20,Sad 10 Female.JPG,Happy,Sad,1472
18,20,Sad 10 Female.JPG,Happy,Sad,1225
19,20,Sad 10 Female.JPG,Happy,Sad,1176
21,20,Sad 10 Female.JPG,Happy,Sad,1105
22,20,Happy 12 Female.JPG,Happy,Happy,1050
26,20,Happy 12 Female.JPG,Happy,Happy,1297
28,20,Happy 12 Female.JPG,Happy,Happy,881
29,20,Sad 10 Female.JPG,Happy,Sad,2960
30,20,Sad 10 Female.JPG,Happy,Sad,2185
31,20,Sad 10 Female.JPG,Happy,Sad,1211
32,20,Sad 10 Female.JPG,Happy,Sad,1641
34,20,Happy 12 Female.JPG,Happy,Happy,1227
36,20,Happy 12 Female.JPG,Happy,Happy,1712
37,20,Happy 12 Female.JPG,Happy,Happy,809
49,20,Happy 12 Female.JPG,Happy,Happy,770
1,21,Happy 11 Female.JPG,Happy,Happy,1741
100,21,Sad 9 Female.JPG,Happy,Sad,1406
2,21,Happy 11 Female.JPG,Happy,Happy,1555
200,21,Sad 9 Female.JPG,Happy,Sad,1936
5,21,Sad 9 Female.JPG,Happy,Sad,1363
6,21,Happy 11 Female.JPG,Happy,Happy,1422
8,21,Sad 9 Female.JPG,Happy,Sad,1502
9,21,Happy 11 Female.JPG,Happy,Happy,995
10,21,Happy 11 Female.JPG,Happy,Happy,1067
11,21,Sad 9 Female.JPG,Happy,Sad,1188
12,21,Sad 9 Female.JPG,Happy,Sad,1278
13,21,Happy 11 Female.JPG,Happy,Happy,1521
14,21,Sad 9 Female.JPG,Happy,Sad,2393
15,21,Sad 9 Female.JPG,Happy,Sad,1003
16,21,Happy 11 Female.JPG,Happy,Happy,1513
17,21,Happy 11 Female.JPG,Happy,Happy,1471
19,21,Happy 11 Female.JPG,Happy,Happy,816
20,21,Happy 11 Female.JPG,Happy,Happy,1356
21,21,Happy 11 Female.JPG,Happy,Happy,1152
22,21,Sad 9 Female.JPG,Happy,Sad,1500
26,21,Sad 9 Female.JPG,Happy,Sad,1045
27,21,Sad 9 Female.JPG,Happy,Sad,1290
28,21,Sad 9 Female.JPG,Happy,Sad,2475
29,21,Happy 11 Female.JPG,Happy,Happy,3424
30,21,Happy 11 Female.JPG,Happy,Happy,1834
31,21,Happy 11 Female.JPG,Happy,Happy,719
32,21,Happy 11 Female.JPG,Happy,Happy,1330
34,21,Sad 9 Female.JPG,Happy,Sad,1612
36,21,Sad 9 Female.JPG,Happy,Sad,2634
37,21,Sad 9 Female.JPG,Happy,Sad,1418
49,21,Sad 9 Female.JPG,Happy,Sad,1702
1,23,Sad 11 Male.JPG,Sad,Sad,1870
100,23,Happy 9 Male.JPG,Sad,Happy,1666
2,23,Sad 11 Male.JPG,Sad,Sad,1223
200,23,Happy 9 Male.JPG,Sad,Happy,2602
5,23,Happy 9 Male.JPG,Sad,Happy,1384
6,23,Sad 11 Male.JPG,Sad,Sad,1387
8,23,Happy 9 Male.JPG,Sad,Happy,1627
9,23,Sad 11 Male.JPG,Sad,Sad,1030
10,23,Sad 11 Male.JPG,Sad,Sad,1714
11,23,Happy 9 Male.JPG,Sad,Happy,800
12,23,Happy 9 Male.JPG,Sad,Happy,952
13,23,Sad 11 Male.JPG,Sad,Sad,1575
14,23,Happy 9 Male.JPG,Sad,Happy,2159
16,23,Sad 11 Male.JPG,Sad,Sad,1544
17,23,Sad 11 Male.JPG,Sad,Sad,1419
18,23,Sad 11 Male.JPG,Sad,Sad,1085
19,23,Sad 11 Male.JPG,Sad,Sad,920
20,23,Sad 11 Male.JPG,Sad,Sad,1497
21,23,Sad 11 Male.JPG,Sad,Sad,1103
26,23,Happy 9 Male.JPG,Sad,Happy,1266
27,23,Happy 9 Male.JPG,Sad,Happy,1169
28,23,Happy 9 Male.JPG,Sad,Happy,1772
29,23,Sad 11 Male.JPG,Sad,Sad,2608
30,23,Sad 11 Male.JPG,Sad,Sad,1871
31,23,Sad 11 Male.JPG,Sad,Sad,843
32,23,Sad 11 Male.JPG,Sad,Sad,2142
34,23,Happy 9 Male.JPG,Sad,Happy,1526
36,23,Happy 9 Male.JPG,Sad,Happy,1912
1,24,Sad 12 Male.JPG,Happy,Sad,1772
100,24,Happy 10 Male.JPG,Happy,Happy,973
200,24,Happy 10 Male.JPG,Happy,Happy,2017
6,24,Sad 12 Male.JPG,Happy,Sad,2296
8,24,Happy 10 Male.JPG,Happy,Happy,1326
9,24,Sad 12 Male.JPG,Happy,Sad,907
10,24,Sad 12 Male.JPG,Happy,Sad,1210
11,24,Happy 10 Male.JPG,Happy,Happy,1187
12,24,Happy 10 Male.JPG,Happy,Happy,1366
13,24,Sad 12 Male.JPG,Happy,Sad,5198
14,24,Happy 10 Male.JPG,Happy,Happy,1748
15,24,Happy 10 Male.JPG,Happy,Happy,739
16,24,Sad 12 Male.JPG,Happy,Sad,1172
17,24,Sad 12 Male.JPG,Happy,Sad,1250
18,24,Sad 12 Male.JPG,Happy,Sad,1957
19,24,Sad 12 Male.JPG,Happy,Sad,1097
21,24,Sad 12 Male.JPG,Happy,Sad,808
26,24,Happy 10 Male.JPG,Happy,Happy,579
27,24,Happy 10 Male.JPG,Happy,Happy,1215
28,24,Happy 10 Male.JPG,Happy,Happy,1440
29,24,Sad 12 Male.JPG,Happy,Sad,2906
30,24,Sad 12 Male.JPG,Happy,Sad,1704
31,24,Sad 12 Male.JPG,Happy,Sad,993
32,24,Sad 12 Male.JPG,Happy,Sad,1470
34,24,Happy 10 Male.JPG,Happy,Happy,662
36,24,Happy 10 Male.JPG,Happy,Happy,1419
37,24,Happy 10 Male.JPG,Happy,Happy,961
1,25,Happy 13 Male.JPG,Happy,Happy,1304
100,25,Sad 15 Male.JPG,Happy,Sad,1256
2,25,Happy 13 Male.JPG,Happy,Happy,1277
200,25,Sad 15 Male.JPG,Happy,Sad,2089
5,25,Sad 15 Male.JPG,Happy,Sad,984
6,25,Happy 13 Male.JPG,Happy,Happy,1320
8,25,Sad 15 Male.JPG,Happy,Sad,1330
9,25,Happy 13 Male.JPG,Happy,Happy,975
10,25,Happy 13 Male.JPG,Happy,Happy,1053
11,25,Sad 15 Male.JPG,Happy,Sad,2811
12,25,Sad 15 Male.JPG,Happy,Sad,1404
13,25,Happy 13 Male.JPG,Happy,Happy,1326
14,25,Sad 15 Male.JPG,Happy,Sad,2661
15,25,Sad 15 Male.JPG,Happy,Sad,988
16,25,Happy 13 Male.JPG,Happy,Happy,1602
17,25,Happy 13 Male.JPG,Happy,Happy,1163
19,25,Happy 13 Male.JPG,Happy,Happy,928
20,25,Happy 13 Male.JPG,Happy,Happy,1195
21,25,Happy 13 Male.JPG,Happy,Happy,1041
