Subject,Vignette,Face,Arousal,StoryEmotion,FaceExpression,Accuracy
47,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
48,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
50,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
51,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
52,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
53,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
54,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
55,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
56,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
57,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
58,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
59,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
60,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
61,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
62,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
63,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
64,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
65,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
66,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
67,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
68,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
69,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
70,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
71,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
72,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
38,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
39,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
40,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
42,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
45,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
46,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
47,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
48,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
50,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
51,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
52,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
53,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
54,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
55,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
56,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
57,14,Anger 3 Female.JPG,2.89,Anger,Anger,0
58,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
59,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
60,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
61,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
62,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
63,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
64,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
65,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
66,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
67,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
68,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
69,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
70,14,Anger 3 Female.JPG,2.89,Anger,Anger,1
71,13,Anger 3 Female.JPG,2.89,Anger,Anger,1
72,13,Anger 3 Female.JPG,2.89,Anger,Anger,0
38,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
39,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
40,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
42,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
44,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
45,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
46,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
47,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
48,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
50,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
51,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
52,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
53,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
54,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
55,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
57,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
58,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
59,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
60,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
61,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
62,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
63,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
66,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
67,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
68,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
69,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
70,6,Anger 3 Male.JPG,2.87,Anger,Anger,1
71,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
72,5,Anger 3 Male.JPG,2.87,Anger,Anger,1
38,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
39,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
40,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
42,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
44,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
45,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
46,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
47,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
48,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
50,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
51,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
52,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
53,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
54,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
55,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
56,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
58,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
59,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
60,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
61,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
62,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
63,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
64,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
65,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
66,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
67,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
68,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
69,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
70,16,Anger 4 Female.JPG,3.17,Anger,Anger,1
71,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
72,15,Anger 4 Female.JPG,3.17,Anger,Anger,1
38,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
39,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
40,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
42,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
44,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
45,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
46,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
48,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
50,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
51,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
52,8,Anger 4 Male.JPG,3.39,Anger,Anger,0
53,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
54,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
55,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
56,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
57,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
58,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
59,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
60,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
61,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
62,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
63,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
64,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
65,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
66,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
67,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
68,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
69,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
70,8,Anger 4 Male.JPG,3.39,Anger,Anger,1
71,7,Anger 4 Male.JPG,3.39,Anger,Anger,1
38,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
39,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
40,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
42,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
44,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
45,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
46,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
47,26,Anger 5 Female.JPG,3.33,Fear,Anger,0
48,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
50,25,Anger 5 Female.JPG,3.33,Fear,Anger,0
51,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
52,25,Anger 5 Female.JPG,3.33,Fear,Anger,0
53,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
54,25,Anger 5 Female.JPG,3.33,Fear,Anger,0
55,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
56,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
57,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
58,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
59,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
60,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
61,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
62,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
63,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
64,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
65,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
66,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
67,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
68,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
69,26,Anger 5 Female.JPG,3.33,Fear,Anger,0
70,25,Anger 5 Female.JPG,3.33,Fear,Anger,1
71,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
72,26,Anger 5 Female.JPG,3.33,Fear,Anger,1
38,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
39,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
40,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
42,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
44,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
45,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
46,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
47,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
48,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
50,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
51,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
52,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
53,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
54,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
55,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
56,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
58,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
59,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
60,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
61,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
62,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
63,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
64,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
65,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
66,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
67,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
68,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
69,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
70,17,Anger 5 Male.JPG,3.27,Fear,Fear,1
71,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
72,18,Anger 5 Male.JPG,3.27,Fear,Anger,1
38,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
39,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
40,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
42,27,Anger 6 Female.JPG,3.1,Fear,Anger,0
44,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
45,27,Anger 6 Female.JPG,3.1,Fear,Anger,0
46,27,Anger 6 Female.JPG,3.1,Fear,Anger,0
47,28,Anger 6 Female.JPG,3.1,Fear,Anger,0
48,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
50,27,Anger 6 Female.JPG,3.1,Fear,Anger,0
51,28,Anger 6 Female.JPG,3.1,Fear,Anger,0
52,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
53,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
54,27,Anger 6 Female.JPG,3.1,Fear,Anger,0
55,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
56,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
57,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
58,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
59,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
60,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
61,27,Anger 6 Female.JPG,3.1,Fear,Anger,0
62,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
64,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
66,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
67,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
68,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
69,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
70,27,Anger 6 Female.JPG,3.1,Fear,Anger,1
71,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
72,28,Anger 6 Female.JPG,3.1,Fear,Anger,1
38,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
39,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
40,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
42,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
44,20,Anger 6 Male.JPG,3.77,Fear,Anger,0
45,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
46,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
47,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
48,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
51,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
52,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
53,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
54,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
55,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
56,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
57,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
59,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
60,19,Anger 6 Male.JPG,3.77,Fear,Anger,0
62,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
63,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
64,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
65,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
66,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
67,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
68,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
69,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
70,19,Anger 6 Male.JPG,3.77,Fear,Anger,1
71,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
72,20,Anger 6 Male.JPG,3.77,Fear,Anger,1
38,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
39,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
40,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
42,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
44,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
45,29,Anger 7 Female.JPG,3.43,Fear,Anger,0
46,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
47,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
48,29,Anger 7 Female.JPG,3.43,Fear,Anger,0
50,29,Anger 7 Female.JPG,3.43,Fear,Anger,0
51,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
52,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
53,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
54,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
55,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
56,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
57,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
58,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
59,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
60,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
61,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
63,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
65,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
66,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
67,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
68,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
69,30,Anger 7 Female.JPG,3.43,Fear,Anger,0
70,29,Anger 7 Female.JPG,3.43,Fear,Anger,1
71,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
72,30,Anger 7 Female.JPG,3.43,Fear,Anger,1
38,21,Anger 7 Male.JPG,3.23,Fear,Anger,0
39,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
42,21,Anger 7 Male.JPG,3.23,Fear,Anger,0
44,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
45,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
46,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
47,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
48,21,Anger 7 Male.JPG,3.23,Fear,Anger,0
50,21,Anger 7 Male.JPG,3.23,Fear,Anger,0
51,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
52,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
53,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
54,21,Anger 7 Male.JPG,3.23,Fear,Anger,0
55,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
56,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
57,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
58,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
59,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
60,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
61,21,Anger 7 Male.JPG,3.23,Fear,Anger,0
62,21,Anger 7 Male.JPG,3.23,Fear,Anger,0
63,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
64,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
65,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
66,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
67,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
69,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
70,21,Anger 7 Male.JPG,3.23,Fear,Anger,1
71,22,Anger 7 Male.JPG,3.23,Fear,Anger,1
72,22,Anger 7 Male.JPG,3.23,Fear,Anger,0
38,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
39,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
40,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
42,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
44,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
45,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
46,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
48,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
50,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
51,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
52,31,Anger 8 Female.JPG,2.78,Fear,Anger,0
53,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
54,31,Anger 8 Female.JPG,2.78,Fear,Anger,0
55,31,Anger 8 Female.JPG,2.78,Fear,Anger,0
56,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
57,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
58,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
59,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
60,31,Anger 8 Female.JPG,2.78,Fear,Anger,0
62,31,Anger 8 Female.JPG,2.78,Fear,Anger,1
63,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
64,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
65,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
66,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
67,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
68,32,Anger 8 Female.JPG,2.78,Fear,Anger,0
69,32,Anger 8 Female.JPG,2.78,Fear,Anger,1
