Subject,ExperimentName,Trials,KDEFfaces,Arousal,StoryEmotion,FaceExpression,Stats,RT,,
70,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,951.00,,
71,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1758.00,,
72,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2154.00,,
38,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,2651.00,,
39,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,2956.00,,
40,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1045.00,,
42,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,2294.00,,
44,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1402.00,,
45,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,2106.00,,
46,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1556.00,,
48,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1174.00,,
50,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,5277.00,,
51,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1740.00,,
52,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1125.00,,
54,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1625.00,,
55,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1466.00,,
56,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1615.00,,
57,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,5565.00,,
58,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1236.00,,
59,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,810.00,,
60,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,476.00,,
61,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1045.00,,
62,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1640.00,,
63,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1130.00,,
64,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1017.00,,
65,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,725.00,,
66,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1196.00,,
67,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1041.00,,
69,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,995.00,,
70,SS Study 2 ExpB,2,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,1346.00,,
72,SS Study 2 ExpA,1,Anger 1 Male.JPG,3.56,Anger,Anger,Total Slide1.RT,2878.00,,
38,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,2333.00,,
39,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,2152.00,,
40,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1638.00,,
42,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1915.00,,
44,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1700.00,,
45,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1363.00,,
46,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1969.00,,
47,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1475.00,,
48,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1390.00,,
50,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,2279.00,,
51,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1277.00,,
52,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1263.00,,
53,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,2604.00,,
54,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1625.00,,
55,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,2654.00,,
56,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1752.00,,
58,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1138.00,,
59,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,919.00,,
60,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,488.00,,
62,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,3168.00,,
63,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1166.00,,
64,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1173.00,,
65,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1127.00,,
66,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1086.00,,
67,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1310.00,,
68,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1010.00,,
69,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,933.00,,
70,SS Study 2 ExpB,12,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,1105.00,,
71,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,2903.00,,
72,SS Study 2 ExpA,11,Anger 2 Female.JPG,3.16,Anger,Anger,Total Slide1.RT,3644.00,,
39,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,2137.00,,
40,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,2008.00,,
42,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1714.00,,
44,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1180.00,,
45,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1350.00,,
46,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,2168.00,,
47,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1702.00,,
48,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,2271.00,,
50,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,4474.00,,
51,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1351.00,,
52,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1227.00,,
53,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,3697.00,,
54,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,5565.00,,
55,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,2140.00,,
56,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1164.00,,
57,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,3394.00,,
58,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1597.00,,
59,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1217.00,,
60,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,611.00,,
61,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1176.00,,
62,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,5249.00,,
63,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,898.00,,
64,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1610.00,,
65,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1227.00,,
66,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1118.00,,
67,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1171.00,,
68,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1141.00,,
69,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1017.00,,
70,SS Study 2 ExpB,4,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1082.00,,
71,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,1724.00,,
72,SS Study 2 ExpA,3,Anger 2 Male.JPG,3.52,Anger,Anger,Total Slide1.RT,5565.00,,
38,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,3841.00,,
39,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,5018.00,,
40,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1136.00,,
42,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,2585.00,,
45,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,3411.00,,
46,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,2251.00,,
47,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1450.00,,
48,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,3033.00,,
50,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,5341.00,,
51,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1403.00,,
52,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1900.00,,
53,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,5565.00,,
54,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,2144.00,,
55,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1804.00,,
56,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1636.00,,
58,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1454.00,,
59,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1614.00,,
60,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,682.00,,
61,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1223.00,,
62,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,3216.00,,
63,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1338.00,,
64,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,998.00,,
65,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1181.00,,
66,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1763.00,,
67,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1807.00,,
68,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,902.00,,
69,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1269.00,,
70,SS Study 2 ExpB,14,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1675.00,,
71,SS Study 2 ExpA,13,Anger 3 Female.JPG,2.89,Anger,Anger,Total Slide1.RT,1933.00,,
38,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,2688.00,,
39,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1945.00,,
40,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1193.00,,
42,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1901.00,,
44,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1708.00,,
45,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1633.00,,
46,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1662.00,,
47,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1367.00,,
48,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1022.00,,
50,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,3213.00,,
51,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1373.00,,
52,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1085.00,,
53,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,2604.00,,
54,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,2246.00,,
55,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1372.00,,
57,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,3455.00,,
58,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1810.00,,
59,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,905.00,,
60,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,865.00,,
61,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1393.00,,
62,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,2594.00,,
63,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1206.00,,
66,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1124.00,,
67,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1024.00,,
68,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1086.00,,
69,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,836.00,,
70,SS Study 2 ExpB,6,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1061.00,,
71,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1999.00,,
72,SS Study 2 ExpA,5,Anger 3 Male.JPG,2.87,Anger,Anger,Total Slide1.RT,1888.00,,
38,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1990.00,,
39,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,2290.00,,
40,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1210.00,,
42,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1566.00,,
44,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1128.00,,
45,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,2221.00,,
46,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,2496.00,,
47,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1520.00,,
48,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,895.00,,
50,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,4342.00,,
51,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1857.00,,
52,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1116.00,,
53,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,2982.00,,
54,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1745.00,,
55,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1192.00,,
56,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1668.00,,
58,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1839.00,,
59,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,776.00,,
60,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,853.00,,
61,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1195.00,,
62,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1462.00,,
63,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,829.00,,
64,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1023.00,,
65,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1255.00,,
66,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1032.00,,
67,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1324.00,,
68,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1173.00,,
69,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,757.00,,
70,SS Study 2 ExpB,16,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,1077.00,,
71,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,2358.00,,
72,SS Study 2 ExpA,15,Anger 4 Female.JPG,3.17,Anger,Anger,Total Slide1.RT,4795.00,,
38,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,5565.00,,
39,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2021.00,,
40,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1346.00,,
42,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2724.00,,
44,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1186.00,,
45,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2338.00,,
46,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2033.00,,
48,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1076.00,,
50,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,5565.00,,
51,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1824.00,,
53,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2971.00,,
54,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1949.00,,
55,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2732.00,,
56,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,3880.00,,
57,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2661.00,,
58,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1412.00,,
59,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,890.00,,
60,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,695.00,,
61,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1154.00,,
62,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2125.00,,
63,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,752.00,,
64,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1697.00,,
65,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,991.00,,
66,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1191.00,,
67,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2165.00,,
68,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,746.00,,
69,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,1141.00,,
70,SS Study 2 ExpB,8,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2077.00,,
71,SS Study 2 ExpA,7,Anger 4 Male.JPG,3.39,Anger,Anger,Total Slide1.RT,2172.00,,
38,SS Study 2 ExpB,25,Anger 5 Female.JPG,3.33,Fear,Anger,Total Slide1.RT,2938.00,,
39,SS Study 2 ExpB,25,Anger 5 Female.JPG,3.33,Fear,Anger,Total Slide1.RT,4421.00,,
40,SS Study 2 ExpA,26,Anger 5 Female.JPG,3.33,Fear,Anger,Total Slide1.RT,1580.00,,
